GDS Holdings Price to Free Cash Flow Ratio Historical Data,GDS Holdings Price to Free Cash Flow Ratio Historical Data,GDS Holdings Price to Free Cash Flow Ratio Historical Data,GDS Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.16,,0.0
2024-06-30,9.29,$-6.08,0.0
2024-03-31,6.65,$-2.78,0.0
2023-12-31,9.12,$-3.21,0.0
2023-09-30,10.95,$-5.87,0.0
2023-06-30,10.99,$-3.35,0.0
2023-03-31,18.66,$-5.52,0.0
2022-12-31,20.62,$-5.87,0.0
2022-09-30,17.66,$-5.22,0.0
2022-06-30,33.39,$-0.39,0.0
2022-03-31,39.25,$-2.37,0.0
2021-09-30,56.61,$-2.26,0.0
2021-06-30,78.49,$-0.67,0.0
2020-12-31,93.64,$-7.29,0.0
2020-09-30,81.83,$-7.95,0.0
2020-06-30,79.66,$-6.86,0.0
2020-03-31,57.97,$-6.40,0.0
2019-12-31,51.58,$-4.85,0.0
2019-09-30,40.08,$-4.40,0.0
2019-06-30,37.57,$-4.52,0.0
2019-03-31,35.69,$-5.20,0.0
2018-12-31,23.09,$-5.35,0.0
2018-09-30,35.13,$-3.99,0.0
2018-06-30,40.09,$-3.79,0.0
2018-03-31,27.45,$-3.47,0.0
2017-12-31,22.53,$-2.92,0.0
2017-09-30,11.26,$-6.69,0.0
