"Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data","Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data","Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data","Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,101.73,,8.55
2024-06-30,93.51,$11.89,7.86
2024-03-31,102.34,$10.82,9.46
2023-12-31,102.74,$11.18,9.19
2023-09-30,85.37,$16.32,5.23
2023-06-30,104.96,$13.40,7.83
2023-03-31,86.18,$11.91,7.24
2022-12-31,77.61,$10.80,7.19
2022-09-30,62.53,$16.52,3.78
2022-06-30,59.14,$13.41,4.41
2022-03-31,78.05,$13.02,6.0
2021-12-31,77.14,$8.96,8.61
2021-09-30,75.94,$7.75,9.8
2021-06-30,70.3,$4.65,15.12
2021-03-31,75.39,$-2.71,0.0
2020-12-31,72.07,$-0.19,0.0
2020-09-30,46.98,$3.44,13.67
2020-06-30,47.18,$9.00,5.24
2020-03-31,42.26,$17.24,2.45
2019-12-31,99.88,$18.13,5.51
2019-09-30,90.7,$14.01,6.47
2019-06-30,89.05,$11.49,7.75
2019-03-31,73.04,$9.33,7.83
2018-12-31,70.8,$9.99,7.09
2018-09-30,71.81,$11.14,6.45
2018-06-30,84.17,$13.06,6.44
2018-03-31,113.54,$15.47,7.34
2017-12-31,117.57,$14.55,8.08
2017-09-30,108.61,$15.38,7.06
2017-06-30,101.41,$13.62,7.44
2017-03-31,96.85,$12.46,7.77
2016-12-31,77.99,$12.15,6.42
2016-09-30,75.07,$9.14,8.21
2016-06-30,44.33,$7.32,6.05
2016-03-31,56.9,$6.36,8.94
2015-12-31,40.2,$5.44,7.4
2015-09-30,34.38,$8.32,4.13
2015-06-30,66.61,$4.54,14.68
2015-03-31,80.65,$8.18,9.86
2014-12-31,82.2,$6.28,13.08
2014-09-30,84.35,$7.30,11.56
2014-06-30,111.23,$14.18,7.84
2014-03-31,112.5,$16.66,6.75
2013-12-31,123.19,$16.66,7.39
2013-09-30,106.19,$20.82,5.1
2013-06-30,99.82,$16.76,5.95
2013-03-31,91.06,$8.12,11.22
2012-12-31,75.71,$8.12,9.33
2012-09-30,60.44,$8.35,7.24
2012-06-30,61.34,$8.35,7.35
2012-03-31,57.45,$8.35,6.88
2011-12-31,42.56,$8.35,5.1
2011-09-30,44.44,$2.50,17.75
2011-06-30,48.41,$2.50,19.33
2011-03-31,37.31,$2.50,14.9
2010-12-31,41.58,$2.50,16.61
2010-09-30,38.09,$5.29,7.2
2010-06-30,31.25,$5.29,5.91
2010-03-31,42.02,$5.29,7.94
2009-12-31,37.65,$5.29,7.12
