Imperial Oil Price to Free Cash Flow Ratio Historical Data,Imperial Oil Price to Free Cash Flow Ratio Historical Data,Imperial Oil Price to Free Cash Flow Ratio Historical Data,Imperial Oil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,77.5,,12.76
2024-06-30,67.68,$6.07,11.14
2024-03-31,68.1,$4.98,13.67
2023-12-31,56.34,$2.62,21.52
2023-09-30,60.28,$4.07,14.8
2023-06-30,49.75,$5.94,8.38
2023-03-31,49.01,$8.34,5.88
2022-12-31,46.72,$11.82,3.95
2022-09-30,41.24,$10.56,3.91
2022-06-30,44.66,$8.08,5.53
2022-03-31,45.58,$5.96,7.65
2021-12-31,33.86,$4.99,6.79
2021-09-30,29.42,$3.76,7.82
2021-06-30,28.12,$2.58,10.91
2021-03-31,22.22,$0.84,26.46
2020-12-31,17.35,$0.01,1422.02
2020-09-30,10.8,$0.49,21.83
2020-06-30,14.34,$0.78,18.3
2020-03-31,9.98,$2.38,4.19
2019-12-31,23.26,$2.83,8.21
2019-09-30,22.72,$2.66,8.55
2019-06-30,23.99,$2.50,9.6
2019-03-31,23.59,$2.35,10.04
2018-12-31,21.7,$2.37,9.15
2018-09-30,27.61,$2.61,10.6
2018-06-30,28.23,$2.35,11.99
2018-03-31,22.4,$2.05,10.91
2017-12-31,26.24,$1.83,14.37
2017-09-30,26.77,$3.22,8.3
2017-06-30,24.35,$4.21,5.78
2017-03-31,25.34,$4.15,6.1
2016-12-31,28.78,$3.52,8.18
2016-09-30,25.85,$1.32,19.58
2016-06-30,25.95,$0.21,120.74
2016-03-31,27.36,$-0.23,0.0
2015-12-31,26.56,$-0.63,0.0
2015-09-30,25.73,$-0.83,0.0
2015-06-30,31.34,$-1.45,0.0
2015-03-31,32.27,$-0.66,0.0
2014-12-31,34.73,$-0.04,0.0
2014-09-30,38.01,$0.52,72.91
2014-06-30,42.27,$-1.03,0.0
2014-03-31,37.3,$-2.43,0.0
2013-12-31,35.35,$-3.25,0.0
2013-09-30,35.03,$-3.21,0.0
2013-06-30,30.37,$-2.38,0.0
2013-03-31,32.38,$-1.42,0.0
2012-12-31,33.98,$-0.67,0.0
2012-09-30,36.27,$-0.81,0.0
2012-06-30,32.79,$0.73,45.13
2012-03-31,35.57,$0.40,89.51
2011-12-31,34.77,$0.68,51.39
2011-09-30,28.16,$0.50,56.5
2011-06-30,36.23,$-0.37,0.0
2011-03-31,39.62,$-0.69,0.0
2010-12-31,31.37,$-0.74,0.0
2010-09-30,29.19,$-0.45,0.0
2010-06-30,28.03,$-0.26,0.0
2010-03-31,29.84,$0.06,500.61
2009-12-31,29.6,$-0.71,0.0
