Cleveland-Cliffs Price to Free Cash Flow Ratio Historical Data,Cleveland-Cliffs Price to Free Cash Flow Ratio Historical Data,Cleveland-Cliffs Price to Free Cash Flow Ratio Historical Data,Cleveland-Cliffs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.66,,4.84
2024-06-30,15.39,$2.82,5.45
2024-03-31,22.74,$3.53,6.44
2023-12-31,20.42,$3.17,6.44
2023-09-30,15.63,$2.71,5.78
2023-06-30,16.76,$2.09,8.04
2023-03-31,18.33,$1.83,10.04
2022-12-31,16.11,$2.82,5.7
2022-09-30,13.47,$3.93,3.43
2022-06-30,15.37,$5.78,2.66
2022-03-31,32.21,$6.35,5.07
2021-12-31,21.77,$4.81,4.53
2021-09-30,19.81,$3.60,5.5
2021-06-30,21.56,$0.73,29.55
2020-12-31,14.56,$-2.07,0.0
2020-09-30,6.42,$-0.49,0.0
2020-06-30,5.52,$-1.77,0.0
2020-03-31,3.89,$-1.06,0.0
2019-12-31,8.2,$0.27,29.86
2021-03-31,20.11,$-1.16,0.0
2019-09-30,6.96,$0.09,77.04
2019-06-30,10.23,$0.38,26.86
2019-03-31,9.53,$0.28,34.37
2018-12-31,7.29,$0.60,12.1
2018-09-30,12.0,$0.46,26.24
2018-06-30,7.99,$0.31,25.59
2018-03-31,6.59,$0.36,18.12
2017-12-31,6.83,$0.69,9.85
2017-09-30,6.78,$1.56,4.33
2017-06-30,6.56,$1.50,4.38
2017-03-31,7.78,$1.81,4.3
2016-12-31,7.97,$1.21,6.61
2016-09-30,5.54,$0.61,9.02
2016-06-30,5.37,$1.35,3.98
2016-03-31,2.84,$0.29,9.78
2015-12-31,1.5,$-0.28,0.0
2015-09-30,2.31,$0.57,4.08
2015-06-30,4.1,$0.52,7.93
2015-03-31,4.56,$0.33,13.87
2014-12-31,6.77,$0.49,13.85
2014-09-30,9.7,$1.10,8.8
2014-06-30,13.94,$0.39,35.99
2014-03-31,18.78,$2.15,8.73
2013-12-31,23.9,$1.63,14.65
2013-09-30,18.59,$-1.00,0.0
2013-06-30,14.64,$-1.09,0.0
2013-03-31,17.01,$-3.44,0.0
2012-12-31,34.32,$-4.31,0.0
2012-09-30,34.12,$-1.00,0.0
2012-06-30,42.37,$2.70,15.7
2012-03-31,58.98,$7.09,8.32
2011-12-31,52.89,$9.99,5.3
2011-09-30,43.24,$11.56,3.74
2011-06-30,77.82,$9.90,7.86
2011-03-31,82.61,$7.63,10.82
2010-12-31,65.47,$7.74,8.46
2010-09-30,53.53,$4.85,11.04
2010-06-30,39.4,$3.58,11.02
2010-03-31,59.13,$1.62,36.47
2009-12-31,38.34,$0.55,69.47
