GFL Environmental Price to Free Cash Flow Ratio Historical Data,GFL Environmental Price to Free Cash Flow Ratio Historical Data,GFL Environmental Price to Free Cash Flow Ratio Historical Data,GFL Environmental Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.73,,0.0
2024-06-30,38.9,$-2.84,0.0
2024-03-31,34.46,$0.06,592.11
2023-12-31,34.46,$-0.03,0.0
2023-09-30,31.7,$0.04,812.77
2023-06-30,38.71,$3.49,11.08
2023-03-31,34.35,$1.15,29.84
2022-12-31,29.14,$1.43,20.45
2022-09-30,25.2,$1.32,19.13
2022-06-30,25.7,$1.56,16.46
2022-03-31,32.4,$1.08,30.02
2021-12-31,37.67,$1.13,33.45
2021-09-30,36.96,$0.90,41.06
2021-06-30,31.75,$0.85,37.37
2021-03-31,34.75,$0.77,45.24
2020-12-31,29.0,$0.19,155.77
