Ares Capital Price to Free Cash Flow Ratio Historical Data,Ares Capital Price to Free Cash Flow Ratio Historical Data,Ares Capital Price to Free Cash Flow Ratio Historical Data,Ares Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.58,,0.0
2024-06-30,20.36,$-2.74,0.0
2024-03-31,19.88,$-0.72,0.0
2023-12-31,18.68,$0.89,21.02
2023-09-30,17.72,$0.78,22.68
2023-06-30,16.69,$0.81,20.55
2023-03-31,15.82,$-2.01,0.0
2022-12-31,15.57,$-2.62,0.0
2022-09-30,13.85,$-5.90,0.0
2022-06-30,14.37,$-5.91,0.0
2022-03-31,16.37,$-5.69,0.0
2021-12-31,16.19,$-5.51,0.0
2021-09-30,15.22,$-3.30,0.0
2021-06-30,14.37,$-3.35,0.0
2021-03-31,13.46,$-0.26,0.0
2020-12-31,11.89,$-1.37,0.0
2020-09-30,9.59,$-0.42,0.0
2020-06-30,9.66,$-2.10,0.0
2020-03-31,7.02,$-1.65,0.0
2019-12-31,11.81,$-2.89,0.0
2019-09-30,11.54,$-4.40,0.0
2019-06-30,10.87,$-1.65,0.0
2019-03-31,10.15,$-0.24,0.0
2018-12-31,9.0,$0.71,12.61
2018-09-30,9.69,$2.86,3.39
2018-06-30,9.07,$2.19,4.14
2018-03-31,8.56,$0.47,18.1
2017-12-31,8.27,$-4.82,0.0
2017-09-30,8.43,$-4.42,0.0
2017-06-30,8.22,$-4.22,0.0
2017-03-31,8.53,$-3.55,0.0
2016-12-31,7.92,$2.25,3.52
2016-09-30,7.27,$0.92,7.88
2016-06-30,6.5,$0.75,8.67
2016-03-31,6.62,$1.40,4.73
2015-12-31,6.19,$1.01,6.14
2015-09-30,6.12,$0.27,22.93
2015-03-31,6.92,$-0.51,0.0
2014-12-31,6.13,$-2.16,0.0
2014-09-30,6.2,$-9.12,0.0
2014-06-30,6.7,$-0.91,0.0
2014-03-31,6.46,$-2.16,0.0
2013-12-31,6.36,$-4.64,0.0
2015-06-30,6.79,$2.24,3.04
2013-09-30,6.04,$-2.91,0.0
2013-06-30,5.88,$-2.61,0.0
2013-03-31,6.05,$-1.28,0.0
2012-12-31,5.73,$-1.09,0.0
2012-09-30,5.47,$-3.17,0.0
2012-06-30,4.97,$-2.30,0.0
2012-03-31,4.97,$-2.66,0.0
2011-12-31,4.59,$-1.94,0.0
2011-09-30,4.0,$-1.33,0.0
2011-06-30,4.55,$-2.02,0.0
2011-03-31,4.7,$-2.73,0.0
2010-12-31,4.48,$-3.71,0.0
2010-09-30,4.17,$-4.69,0.0
2010-06-30,3.26,$-3.04,0.0
2010-03-31,3.76,$-0.37,0.0
2009-12-31,3.08,$0.12,25.59
