Moog Price to Free Cash Flow Ratio Historical Data,Moog Price to Free Cash Flow Ratio Historical Data,Moog Price to Free Cash Flow Ratio Historical Data,Moog Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,198.38,,149.99
2024-06-30,170.0,$1.32,128.53
2024-03-31,157.0,$0.80,195.81
2023-12-31,144.8,$0.62,233.55
2023-09-30,112.27,$-0.55,0.0
2023-06-30,104.61,$-2.48,0.0
2023-03-31,97.89,$-2.79,0.0
2022-12-31,85.88,$-0.43,0.0
2022-09-30,70.34,$3.76,18.72
2022-06-30,78.37,$3.58,21.91
2022-03-31,87.51,$6.40,13.68
2021-12-31,78.03,$6.99,11.16
2021-09-30,75.05,$5.55,13.53
2021-06-30,83.71,$6.50,12.89
2021-03-31,77.38,$7.35,10.52
2020-12-31,76.97,$7.57,10.16
2020-09-30,61.73,$5.71,10.81
2020-06-30,57.49,$4.31,13.33
2020-03-31,49.4,$1.21,40.74
2019-12-31,82.42,$2.00,41.27
2019-09-30,82.38,$2.47,33.4
2019-06-30,88.08,$1.04,84.49
2019-03-31,81.02,$0.75,108.14
2018-09-30,78.25,$0.22,357.49
2018-06-30,72.77,$2.11,34.51
2018-03-31,75.21,$3.96,19.02
2017-12-31,82.89,$5.46,15.19
2017-09-30,77.68,$6.36,12.22
2018-12-31,72.74,$4.56,15.96
2017-06-30,67.25,$4.23,15.88
2017-03-31,62.85,$5.21,12.06
2016-12-31,61.8,$5.40,11.45
2016-09-30,55.71,$4.07,13.69
2016-06-30,50.21,$5.86,8.56
2016-03-31,42.17,$5.49,7.68
2015-12-31,56.69,$4.69,12.09
2015-09-30,50.53,$6.45,7.83
2015-06-30,66.86,$5.08,13.17
2015-03-31,70.2,$5.22,13.45
2014-12-31,69.78,$5.01,13.94
2014-09-30,64.09,$4.63,13.83
2014-06-30,67.93,$4.73,14.36
2014-03-31,61.35,$4.22,14.53
2013-12-31,63.49,$4.36,14.56
2013-09-30,54.51,$3.45,15.8
2013-06-30,47.71,$3.06,15.58
2013-03-31,42.71,$2.86,14.93
2012-12-31,38.09,$0.04,909.1
2012-09-30,35.69,$0.81,43.99
2012-06-30,38.58,$0.52,74.24
2012-03-31,40.17,$-0.40,0.0
2011-09-30,30.92,$2.44,12.66
2011-06-30,40.31,$4.20,9.61
2011-03-31,42.5,$3.72,11.42
2010-12-31,37.18,$4.45,8.34
2010-09-30,33.63,$3.83,8.79
2011-12-31,41.63,$2.14,19.43
2010-06-30,30.26,$2.35,12.87
2010-03-31,33.16,$1.95,17.03
2009-12-31,27.84,$1.82,15.31
