Avangrid Price to Free Cash Flow Ratio Historical Data,Avangrid Price to Free Cash Flow Ratio Historical Data,Avangrid Price to Free Cash Flow Ratio Historical Data,Avangrid Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.64,,0.0
2024-06-30,35.1,$-6.18,0.0
2024-03-31,36.0,$-3.23,0.0
2023-12-31,31.57,$-2.48,0.0
2023-09-30,28.97,$-1.77,0.0
2023-06-30,35.73,$-1.21,0.0
2022-12-31,39.84,$-3.75,0.0
2022-09-30,38.26,$-4.92,0.0
2022-06-30,41.93,$-5.40,0.0
2022-03-31,42.11,$-6.10,0.0
2021-12-31,44.5,$-5.58,0.0
2023-03-31,37.38,$-3.93,0.0
2021-09-30,42.97,$-4.35,0.0
2021-06-30,45.11,$-4.51,0.0
2021-03-31,43.33,$-4.03,0.0
2020-12-31,39.16,$-4.80,0.0
2020-09-30,43.06,$-3.87,0.0
2020-06-30,35.5,$-3.44,0.0
2020-03-31,36.66,$-4.69,0.0
2019-12-31,42.48,$-3.65,0.0
2019-09-30,43.0,$-3.37,0.0
2019-06-30,41.2,$-2.79,0.0
2019-03-31,40.73,$-1.13,0.0
2018-12-31,40.15,$0.07,565.53
2018-09-30,38.1,$0.03,1511.84
2018-06-30,41.71,$-0.43,0.0
2018-03-31,39.94,$-0.95,0.0
2017-12-31,39.17,$-2.07,0.0
2017-09-30,36.42,$-2.25,0.0
2017-06-30,33.6,$-1.65,0.0
2017-03-31,32.22,$-0.97,0.0
2016-12-31,28.27,$-0.31,0.0
2016-09-30,30.82,$1.84,16.76
