Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data,Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data,Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data,Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,132.51,,13.74
2024-06-30,107.7,$9.64,11.17
2024-03-31,100.35,$2.25,44.7
2023-12-31,96.04,$2.69,35.64
2023-09-30,70.82,$2.35,30.11
2023-06-30,66.7,$2.20,30.33
2022-12-31,88.27,$9.31,9.48
2022-09-30,75.74,$11.25,6.73
2022-06-30,92.15,$11.54,7.99
2022-03-31,169.58,$11.41,14.86
2021-12-31,215.23,$10.93,19.7
2023-03-31,67.78,$7.66,8.85
2021-09-30,188.16,$7.51,25.07
2021-06-30,154.48,$6.64,23.27
2021-03-31,144.65,$6.06,23.85
2020-12-31,145.95,$5.67,25.76
2020-09-30,98.25,$5.46,17.98
2020-06-30,69.03,$5.16,13.38
2020-03-31,58.86,$4.97,11.85
2019-12-31,58.09,$4.21,13.81
2019-09-30,69.77,$7.02,9.94
2019-06-30,92.58,$3.10,29.87
2019-03-31,60.9,$2.40,25.39
2018-12-31,33.66,$2.15,15.63
2018-09-30,35.5,$-1.55,0.0
2018-06-30,26.75,$1.59,16.86
2018-03-31,19.4,$1.52,12.73
2017-12-31,23.21,$1.49,15.62
2017-09-30,13.32,$0.44,30.43
