WillScot Holdings Price to Free Cash Flow Ratio Historical Data,WillScot Holdings Price to Free Cash Flow Ratio Historical Data,WillScot Holdings Price to Free Cash Flow Ratio Historical Data,WillScot Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.69,,12.36
2024-06-30,37.64,$2.97,12.68
2024-03-31,46.5,$3.11,14.95
2023-12-31,44.5,$2.86,15.58
2023-09-30,41.59,$2.60,16.0
2023-06-30,47.79,$2.23,21.42
2023-03-31,46.88,$1.74,26.87
2022-12-31,45.17,$1.49,30.27
2022-09-30,40.33,$1.17,34.53
2022-06-30,32.42,$1.11,29.08
2022-03-31,39.13,$1.15,33.97
2021-12-31,40.84,$1.30,31.37
2021-09-30,31.72,$1.67,18.98
2021-06-30,27.87,$1.22,22.75
2021-03-31,27.75,$1.23,22.48
2020-12-31,23.17,$0.92,25.31
2020-09-30,16.68,$0.73,22.99
2020-06-30,12.29,$0.84,14.7
2020-03-31,10.13,$0.50,20.35
2019-12-31,18.49,$0.18,100.54
2019-09-30,15.58,$-0.46,0.0
2019-06-30,15.04,$-0.89,0.0
2019-03-31,11.09,$-1.08,0.0
2018-12-31,9.42,$-1.09,0.0
2018-09-30,17.15,$-2.03,0.0
2018-06-30,14.8,$-1.48,0.0
2018-03-31,13.65,$-3.17,0.0
2017-12-31,12.7,$-2.53,0.0
2017-09-30,10.1,$-1.34,0.0
2017-06-30,10.0,$-1.48,0.0
