Yum China Price to Free Cash Flow Ratio Historical Data,Yum China Price to Free Cash Flow Ratio Historical Data,Yum China Price to Free Cash Flow Ratio Historical Data,Yum China Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.37,,26.22
2024-06-30,30.69,$1.65,18.55
2024-03-31,39.42,$1.67,23.62
2023-12-31,41.88,$1.82,23.05
2023-09-30,54.84,$1.78,30.79
2023-06-30,55.47,$2.51,22.08
2023-03-31,62.09,$2.58,24.05
2022-12-31,53.42,$1.73,30.93
2022-09-30,46.16,$1.59,29.0
2022-06-30,47.18,$0.56,84.89
2022-03-31,40.3,$0.56,72.37
2021-12-31,48.23,$1.02,47.35
2021-09-30,56.1,$1.55,36.14
2021-06-30,63.83,$2.12,30.09
2021-03-31,56.95,$2.18,26.11
2020-12-31,54.8,$1.73,31.69
2020-09-30,50.72,$1.58,32.18
2020-06-30,46.05,$1.48,31.17
2020-03-31,40.84,$1.26,32.41
2019-12-31,45.87,$1.93,23.73
2019-09-30,43.28,$2.01,21.5
2019-06-30,43.89,$1.85,23.74
2019-03-31,42.53,$1.69,25.16
2018-12-31,31.66,$2.18,14.49
2018-09-30,33.04,$2.68,12.34
2018-06-30,36.1,$2.66,13.58
2018-03-31,38.85,$0.54,71.68
2017-12-31,37.38,$0.18,212.5
2017-03-31,25.34,$0.57,44.69
