Sunoco LP Price to Free Cash Flow Ratio Historical Data,Sunoco LP Price to Free Cash Flow Ratio Historical Data,Sunoco LP Price to Free Cash Flow Ratio Historical Data,Sunoco LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.87,,31.11
2024-06-30,55.58,$1.67,33.33
2024-03-31,58.34,$4.35,13.41
2023-12-31,57.19,$4.89,11.7
2023-09-30,45.92,$1.82,25.29
2023-06-30,40.12,$5.47,7.33
2023-03-31,39.66,$8.22,4.82
2022-12-31,38.28,$4.80,7.98
2022-09-30,33.95,$6.10,5.57
2022-06-30,31.8,$5.37,5.92
2022-03-31,34.2,$3.12,10.96
2021-12-31,33.57,$4.77,7.03
2021-09-30,30.06,$5.33,5.64
2021-06-30,29.71,$5.15,5.77
2021-03-31,24.52,$6.35,3.86
2020-12-31,21.62,$4.67,4.63
2020-09-30,17.75,$5.80,3.06
2020-06-30,16.11,$4.39,3.67
2020-03-31,10.66,$3.58,2.98
2019-12-31,20.33,$3.79,5.36
2019-09-30,20.38,$4.25,4.8
2019-06-30,19.76,$3.55,5.56
2019-03-31,19.16,$-0.00,0.0
2018-12-31,16.27,$4.49,3.62
2018-09-30,17.15,$2.42,7.1
2018-06-30,14.05,$5.00,2.81
2018-03-31,13.94,$7.19,1.94
2017-12-31,15.1,$2.11,7.17
2017-09-30,16.1,$4.97,3.24
2017-06-30,15.43,$3.21,4.8
2017-03-31,11.86,$2.64,4.5
2016-12-31,12.83,$3.80,3.37
2016-09-30,13.42,$5.32,2.52
2016-06-30,13.5,$7.73,1.75
2016-03-31,14.58,$4.35,3.35
2015-12-31,16.98,$4.35,3.91
2015-09-30,14.19,$12.53,1.13
2015-06-30,18.68,$7.95,2.35
2015-03-31,20.89,$12.63,1.65
2014-12-31,20.01,$6.17,3.24
2014-09-30,21.85,$-6.97,0.0
2014-06-30,18.48,$-8.66,0.0
2014-03-31,13.68,$-10.43,0.0
2013-12-31,12.71,$-5.70,0.0
2013-09-30,11.4,$-7.36,0.0
2013-06-30,10.93,$-2.87,0.0
