"Grifols, S.A Price to Free Cash Flow Ratio Historical Data","Grifols, S.A Price to Free Cash Flow Ratio Historical Data","Grifols, S.A Price to Free Cash Flow Ratio Historical Data","Grifols, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.59,,0.0
2024-06-30,6.31,$-0.01,0.0
2023-06-30,9.16,$-0.57,0.0
2022-06-30,11.88,$-0.53,0.0
2021-06-30,17.35,$0.28,61.13
2019-06-30,20.09,$0.05,436.77
2018-06-30,19.93,$0.77,25.84
2017-06-30,19.18,$0.90,21.23
2017-03-31,17.0,$0.87,19.57
2016-12-31,14.47,$0.83,17.44
2023-03-31,7.37,$0.34,21.48
2016-09-30,14.2,$0.43,33.03
2016-06-30,14.82,$0.47,31.46
2016-03-31,13.62,$0.54,25.1
2015-12-31,14.26,0,0.0
2015-09-30,13.23,$-1.99,0.0
2015-06-30,13.48,$-1.97,0.0
2015-03-31,14.12,$-1.74,0.0
2014-12-31,14.63,$-1.04,0.0
2014-09-30,14.98,$1.16,12.93
2014-06-30,18.79,$0.99,18.93
2014-03-31,17.5,$0.92,19.03
2013-12-31,15.3,$0.87,17.5
2013-09-30,12.83,$0.78,16.5
2013-06-30,12.07,$0.95,12.67
2013-03-31,12.17,$0.72,16.87
2012-09-30,9.12,$0.97,9.37
2012-06-30,7.67,$0.05,142.84
2012-03-31,6.16,$0.46,13.31
