Installed Building Products Price to Free Cash Flow Ratio Historical Data,Installed Building Products Price to Free Cash Flow Ratio Historical Data,Installed Building Products Price to Free Cash Flow Ratio Historical Data,Installed Building Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,254.08,,24.56
2024-06-30,205.36,$10.34,19.85
2024-03-31,257.9,$10.07,25.6
2023-12-31,180.77,$9.94,18.19
2023-09-30,123.27,$9.61,12.82
2023-06-30,138.0,$9.43,14.63
2023-03-31,111.96,$8.93,12.53
2022-12-31,83.1,$8.12,10.24
2022-09-30,78.35,$6.21,12.62
2022-06-30,80.16,$3.96,20.23
2022-03-31,81.14,$3.88,20.9
2021-12-31,132.5,$3.51,37.75
2021-09-30,101.39,$4.05,25.07
2021-06-30,115.49,$4.14,27.91
2021-03-31,104.38,$5.04,20.72
2020-12-31,95.71,$4.99,19.17
2020-09-30,95.54,$4.14,23.06
2020-06-30,64.58,$4.32,14.97
2020-03-31,37.44,$3.09,12.11
2019-12-31,64.66,$2.47,26.22
2019-09-30,53.84,$3.00,17.97
2019-06-30,55.6,$2.72,20.44
2019-03-31,45.54,$2.40,18.98
2018-12-31,31.63,$2.03,15.59
2018-09-30,36.62,$1.59,23.02
2018-06-30,53.1,$1.23,43.02
2018-03-31,56.38,$0.82,68.67
2017-12-31,71.31,$1.20,59.5
2017-09-30,60.84,$1.33,45.75
2017-06-30,49.72,$1.21,41.19
2017-03-31,49.53,$1.32,37.49
2016-12-31,38.78,$1.50,25.91
2016-09-30,33.68,$1.09,30.91
2016-06-30,34.07,$0.85,39.91
2016-03-31,24.99,$0.67,37.43
2015-12-31,23.31,$0.25,92.77
2015-09-30,23.74,$0.38,62.41
2015-06-30,22.99,$0.39,58.53
2015-03-31,20.43,$0.31,65.51
2014-12-31,16.73,$0.47,35.69
