TD SYNNEX Price to Free Cash Flow Ratio Historical Data,TD SYNNEX Price to Free Cash Flow Ratio Historical Data,TD SYNNEX Price to Free Cash Flow Ratio Historical Data,TD SYNNEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,123.51,,15.34
2024-08-31,121.01,$8.05,15.03
2024-05-31,129.94,$10.03,12.95
2024-02-29,102.83,$18.92,5.44
2023-11-30,97.25,$13.54,7.18
2023-08-31,99.94,$-2.31,0.0
2023-05-31,87.48,$-0.79,0.0
2023-02-28,94.12,$-9.18,0.0
2022-02-28,98.0,$-2.39,0.0
2021-11-30,99.29,$12.04,8.25
2021-08-31,121.72,$38.22,3.19
2021-05-31,121.06,$9.94,12.18
2021-02-28,85.12,$9.97,8.54
2020-11-30,74.4,$31.82,2.34
2022-11-30,99.43,$-1.74,0.0
2020-08-31,59.01,$33.66,1.75
2020-05-31,49.5,$32.58,1.52
2020-02-29,58.03,$11.89,4.88
2019-11-30,56.84,$8.10,7.02
2019-08-31,38.66,$4.49,8.62
2019-05-31,39.84,$-3.03,0.0
2019-02-28,44.92,$-3.57,0.0
2018-11-30,36.82,$-0.59,0.0
2018-08-31,44.01,$2.89,15.23
2018-05-31,48.32,$7.12,6.79
2018-02-28,55.74,$6.51,8.56
2017-11-30,61.24,$1.99,30.73
2017-08-31,53.66,$5.78,9.29
2017-05-31,49.81,$-4.23,0.0
2017-02-28,52.22,$-5.61,0.0
2016-11-30,52.11,$2.37,21.96
2022-08-31,93.25,$-4.51,0.0
2016-08-31,47.21,$5.91,7.99
2016-05-31,40.43,$11.86,3.41
2016-02-29,41.63,$11.75,3.54
2015-11-30,41.64,$13.75,3.03
2015-08-31,34.9,$12.18,2.87
2015-05-31,36.37,$5.50,6.62
2015-02-28,33.49,$-1.76,0.0
2014-11-30,31.33,$-7.52,0.0
2014-08-31,30.52,$-9.90,0.0
2014-05-31,28.93,$-7.66,0.0
2014-02-28,26.03,$-1.85,0.0
2013-11-30,28.96,$0.18,161.58
2013-08-31,20.79,$3.32,6.26
2013-05-31,17.75,$5.25,3.38
2013-02-28,16.69,$5.20,3.21
2012-11-30,14.45,$6.05,2.39
2012-08-31,15.11,$7.73,1.95
2012-05-31,14.6,$3.92,3.73
2012-02-29,18.04,$10.17,1.78
2011-11-30,12.85,$3.49,3.69
2011-08-31,11.53,$2.59,4.45
2011-05-31,14.33,$2.86,5.0
2022-05-31,100.25,$-5.14,0.0
2011-02-28,15.44,$-0.13,0.0
2010-11-30,12.54,$-2.20,0.0
2010-08-31,10.09,$0.60,16.71
2010-05-31,11.7,$0.29,40.41
2010-02-28,12.53,$0.09,143.09
2009-11-30,12.39,$6.97,1.78
