Carlisle Price to Free Cash Flow Ratio Historical Data,Carlisle Price to Free Cash Flow Ratio Historical Data,Carlisle Price to Free Cash Flow Ratio Historical Data,Carlisle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,472.55,,22.3
2024-06-30,404.21,$21.19,19.08
2024-03-31,390.09,$21.60,18.06
2023-12-31,310.26,$21.01,14.76
2023-09-30,256.68,$20.95,12.25
2023-06-30,253.21,$18.76,13.5
2023-03-31,222.34,$17.44,12.75
2022-12-31,231.09,$15.57,14.84
2022-09-30,274.15,$10.42,26.3
2022-06-30,232.72,$5.88,39.59
2022-03-31,239.34,$4.75,50.34
2021-12-31,240.92,$5.39,44.67
2021-09-30,192.59,$7.87,24.48
2021-06-30,184.93,$9.91,18.67
2021-03-31,158.61,$11.28,14.06
2020-12-31,149.99,$10.93,13.72
2020-09-30,117.09,$9.87,11.86
2020-06-30,114.03,$11.19,10.19
2020-03-31,118.82,$9.73,12.22
2019-12-31,153.03,$10.68,14.33
2019-09-30,137.19,$11.04,12.43
2019-06-30,131.89,$7.45,17.71
2019-03-31,114.84,$5.24,21.93
2018-12-31,93.83,$3.59,26.11
2018-09-30,113.27,$1.72,65.73
2018-06-30,100.4,$2.49,40.31
2018-03-31,96.45,$4.53,21.3
2017-12-31,104.62,$4.70,22.25
2017-09-30,92.01,$5.28,17.43
2017-06-30,87.19,$5.52,15.79
2017-03-31,96.92,$5.14,18.85
2016-12-31,100.12,$6.51,15.38
2016-09-30,92.82,$6.65,13.95
2016-06-30,95.32,$7.26,13.13
2016-03-31,89.49,$7.88,11.36
2015-12-31,79.48,$6.95,11.44
2015-09-30,78.03,$6.22,12.55
2015-06-30,89.15,$4.33,20.58
2015-03-31,82.28,$2.77,29.65
2014-12-31,79.94,$2.75,29.12
2014-09-30,71.01,$2.24,31.7
2014-06-30,76.29,$3.94,19.36
2014-03-31,69.69,$5.13,13.59
2013-12-31,69.55,$4.87,14.27
2013-09-30,61.38,$5.56,11.04
2013-06-30,54.24,$5.00,10.85
2013-03-31,58.84,$5.14,11.44
2012-12-31,50.85,$5.38,9.45
2012-09-30,44.76,$4.28,10.47
2012-06-30,45.53,$3.60,12.63
2012-03-31,42.73,$2.52,16.95
2011-12-31,37.77,$1.84,20.57
2011-09-30,27.07,$1.65,16.45
2011-06-30,41.6,$0.64,65.16
2011-03-31,37.51,$0.90,41.57
2010-12-31,33.33,$0.84,39.56
2010-09-30,25.0,$1.54,16.25
2010-06-30,29.99,$1.95,15.36
2010-03-31,31.5,$4.97,6.33
2009-12-31,28.19,$6.18,4.56
