Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,80.36,,27.97
2024-08-31,79.2,$2.87,27.57
2024-05-31,72.27,$3.22,22.44
2024-02-29,67.65,$3.74,18.11
2023-11-30,64.49,$3.61,17.87
2023-08-31,82.25,$2.88,28.52
2023-05-31,86.7,$2.27,38.23
2023-02-28,75.97,$1.69,44.89
2022-11-30,84.0,$1.44,58.27
2022-08-31,84.22,$1.67,50.45
2022-05-31,92.95,$1.80,51.5
2022-02-28,94.71,$2.24,42.23
2021-11-30,86.65,$2.04,42.5
2021-08-31,85.62,$1.93,44.46
2021-05-31,88.4,$2.46,35.9
2021-02-28,83.77,$2.71,30.92
2020-11-30,90.96,$3.03,30.0
2020-08-31,100.67,$3.22,31.22
2020-05-31,86.18,$2.91,29.6
2020-02-29,70.79,$2.61,27.07
2019-11-30,82.25,$2.88,28.52
2019-08-31,79.02,$2.85,27.7
2019-05-31,75.49,$2.76,27.35
2019-02-28,65.51,$2.93,22.33
2018-11-30,71.99,$2.45,29.42
2018-08-31,59.58,$2.74,21.74
2018-05-31,48.2,$2.68,17.96
2018-02-28,51.4,$2.21,23.28
2017-11-30,48.2,$2.46,19.56
2017-08-31,44.74,$1.82,24.62
2017-05-31,48.42,$1.79,26.98
2017-02-28,45.3,$1.82,24.92
2016-11-30,42.78,$1.98,21.64
2016-08-31,46.66,$1.75,26.62
2016-05-31,44.94,$1.85,24.24
2016-02-29,42.73,$1.70,25.18
2015-11-30,39.01,$1.79,21.82
2015-08-31,35.81,$1.62,22.18
2015-05-31,35.36,$1.46,24.23
2015-02-28,33.69,$1.51,22.33
2014-11-30,32.15,$1.42,22.64
2014-08-31,30.79,$1.48,20.81
2014-05-31,31.71,$1.52,20.89
2014-02-28,28.8,$1.52,18.95
2013-11-30,30.09,$1.38,21.86
2013-08-31,29.13,$1.22,23.88
2013-05-31,30.01,$1.25,23.93
2013-02-28,28.88,$1.34,21.58
2012-11-30,27.46,$1.29,21.31
2012-08-31,26.0,$1.53,16.99
2012-05-31,23.78,$1.30,18.23
2012-02-29,21.25,$1.07,19.77
2011-11-30,20.32,$0.91,22.38
2011-08-31,19.77,$0.87,22.78
2011-05-31,20.49,$1.02,20.08
2011-02-28,19.44,$1.04,18.61
2010-11-30,17.89,$1.13,15.82
2010-08-31,16.24,$1.09,14.85
2010-05-31,15.49,$1.16,13.41
2010-02-28,14.85,$1.32,11.25
2009-11-30,14.25,$1.26,11.29
