Acushnet Price to Free Cash Flow Ratio Historical Data,Acushnet Price to Free Cash Flow Ratio Historical Data,Acushnet Price to Free Cash Flow Ratio Historical Data,Acushnet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.53,,15.03
2024-06-30,63.27,$4.29,14.74
2024-03-31,65.73,$4.37,15.04
2023-12-31,62.75,$5.67,11.06
2023-09-30,52.51,$5.29,9.92
2023-06-30,53.95,$3.72,14.49
2022-12-31,41.56,$-1.78,0.0
2022-09-30,42.4,$3.82,11.09
2022-06-30,40.48,$2.16,18.74
2022-03-31,38.94,$2.90,13.43
2021-12-31,51.12,$7.62,6.71
2023-03-31,50.05,$2.04,24.59
2021-09-30,44.84,$4.64,9.67
2021-06-30,47.28,$5.21,9.08
2021-03-31,39.43,$3.75,10.51
2020-12-31,38.53,$3.19,12.06
2020-09-30,31.82,$2.34,13.58
2020-06-30,32.79,$0.80,40.97
2020-03-31,24.13,$1.55,15.59
2019-12-31,30.29,$1.34,22.65
2019-09-30,24.5,$1.31,18.71
2019-06-30,24.24,$1.44,16.78
2019-03-31,21.23,$1.72,12.33
2018-12-31,19.22,$1.73,11.08
2018-09-30,25.02,$1.24,20.22
2018-06-30,22.21,$1.39,16.02
2018-03-31,20.85,$1.20,17.31
2017-12-31,18.93,$-0.62,0.0
2017-09-30,15.85,$0.91,17.38
