Gentex Price to Free Cash Flow Ratio Historical Data,Gentex Price to Free Cash Flow Ratio Historical Data,Gentex Price to Free Cash Flow Ratio Historical Data,Gentex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.69,,17.06
2024-06-30,33.45,$1.74,19.22
2024-03-31,35.72,$1.63,21.9
2023-12-31,32.18,$1.54,20.89
2023-09-30,31.94,$1.35,23.7
2023-06-30,28.6,$0.92,31.02
2023-03-31,27.28,$0.77,35.25
2022-12-31,26.43,$0.83,31.81
2022-09-30,22.99,$0.71,32.53
2022-06-30,26.86,$0.90,29.97
2022-03-31,27.89,$0.91,30.7
2021-12-31,33.21,$1.25,26.55
2021-09-30,31.32,$1.59,19.72
2021-06-30,31.31,$1.95,16.07
2021-03-31,33.64,$1.88,17.85
2020-12-31,31.89,$1.70,18.81
2020-09-30,24.1,$1.58,15.26
2020-06-30,24.0,$1.45,16.53
2020-03-31,20.53,$1.77,11.61
2019-12-31,26.75,$1.67,16.0
2019-09-30,25.3,$1.73,14.61
2019-06-30,22.5,$1.69,13.35
2019-03-31,18.81,$1.75,10.77
2018-12-31,18.28,$1.73,10.56
2018-09-30,19.31,$1.75,11.06
2018-06-30,20.62,$1.60,12.92
2018-03-31,20.53,$1.46,14.08
2017-12-31,18.59,$1.38,13.49
2017-09-30,17.49,$1.24,14.09
2017-06-30,16.67,$1.25,13.31
2017-03-31,18.66,$1.13,16.52
2016-12-31,17.15,$1.23,13.99
2016-09-30,15.22,$1.03,14.74
2016-06-30,13.31,$1.02,13.01
2016-03-31,13.44,$1.01,13.33
2015-12-31,13.64,$0.87,15.75
2015-09-30,13.13,$1.01,13.03
2015-06-30,13.84,$1.02,13.61
2015-03-31,15.35,$0.90,17.06
2014-12-31,15.09,$0.87,17.42
2014-09-30,11.12,$0.87,12.75
2014-06-30,12.01,$0.78,15.47
2014-03-31,12.96,$0.89,14.56
2013-12-31,13.5,$0.91,14.85
2013-09-30,10.42,$0.86,12.16
2013-06-30,9.33,$0.90,10.42
2013-03-31,8.04,$0.71,11.26
2012-12-31,7.52,$0.49,15.32
2012-09-30,6.73,$0.21,31.67
2012-06-30,8.22,$-0.01,0.0
2012-03-31,9.6,$-0.05,0.0
2011-12-31,11.54,$0.08,153.7
2011-09-30,9.34,$0.21,45.49
2011-06-30,11.69,$0.31,37.5
2011-03-31,11.65,$0.31,37.55
2010-12-31,11.35,$0.29,39.07
2010-09-30,7.45,$0.31,24.26
2010-06-30,6.82,$0.36,19.02
2010-03-31,7.33,$0.47,15.59
2009-12-31,6.7,$0.33,20.58
