EchoStar Price to Free Cash Flow Ratio Historical Data,EchoStar Price to Free Cash Flow Ratio Historical Data,EchoStar Price to Free Cash Flow Ratio Historical Data,EchoStar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.54,,0.0
2024-06-30,17.81,$-3.94,0.0
2024-03-31,14.25,$-3.71,0.0
2023-12-31,16.57,$-3.08,0.0
2023-09-30,16.75,$1.63,10.3
2022-12-31,16.68,$1.85,8.99
2022-09-30,16.47,$10.70,1.54
2022-06-30,19.3,$10.45,1.85
2022-03-31,24.34,$9.95,2.45
2021-12-31,26.35,$11.22,2.35
2023-03-31,18.29,$0.98,18.61
2021-09-30,25.51,$1.42,17.94
2021-06-30,24.29,$1.30,18.72
2021-03-31,24.0,$0.96,25.02
2020-12-31,21.19,$1.28,16.52
2020-09-30,24.89,$0.94,26.58
2020-06-30,27.96,$1.28,21.87
2020-03-31,31.97,$1.45,22.11
2019-12-31,43.31,$2.46,17.62
2019-09-30,39.62,$2.76,14.33
2019-06-30,36.09,$2.46,14.7
2019-03-31,29.69,$2.46,12.06
2018-12-31,29.91,$2.67,11.2
2018-09-30,37.76,$1.93,19.6
2018-06-30,36.16,$1.84,19.62
2018-03-31,42.98,$2.00,21.45
2017-12-31,48.78,$1.53,31.89
2017-09-30,46.61,$2.17,21.48
2017-06-30,49.43,$2.66,18.61
2017-03-31,46.38,$1.71,27.07
2016-12-31,41.85,$1.11,37.6
2016-09-30,35.7,$0.10,344.55
2016-06-30,32.33,$0.53,60.5
2016-03-31,36.07,$0.12,308.82
2015-12-31,31.85,$0.78,40.82
2015-09-30,35.04,$0.64,54.51
2015-06-30,39.65,$0.90,43.95
2015-03-31,42.12,$2.62,16.08
2014-12-31,42.76,$0.78,55.01
2014-09-30,39.71,$2.45,16.19
2014-06-30,43.12,$0.55,78.11
2023-06-30,17.34,$0.27,64.44
2014-03-31,38.73,$2.29,16.91
2013-12-31,40.49,$1.09,37.19
2013-09-30,35.79,$1.79,20.0
2013-06-30,31.85,$1.37,23.33
2013-03-31,31.74,$0.06,539.76
2012-12-31,27.87,$-0.09,0.0
2012-09-30,23.34,$0.83,28.16
2012-06-30,21.52,$-0.15,0.0
2012-03-31,22.92,$-0.18,0.0
2011-12-31,17.05,$0.80,21.26
2011-09-30,18.41,$1.71,10.76
2011-06-30,29.67,$2.16,13.72
2011-03-31,30.83,$3.06,10.07
2010-12-31,20.34,$2.43,8.36
2010-09-30,15.54,$0.06,280.99
2010-06-30,15.54,$-0.17,0.0
2010-03-31,16.52,$-0.37,0.0
2009-12-31,16.4,$-0.21,0.0
