Chart Industries Price to Free Cash Flow Ratio Historical Data,Chart Industries Price to Free Cash Flow Ratio Historical Data,Chart Industries Price to Free Cash Flow Ratio Historical Data,Chart Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,126.77,,0.0
2024-06-30,144.34,$-0.42,0.0
2024-03-31,164.72,$-0.63,0.0
2023-12-31,136.33,$0.86,158.78
2023-09-30,169.12,$-1.52,0.0
2023-06-30,159.79,$0.73,219.13
2023-03-31,125.4,$-0.50,0.0
2022-12-31,115.23,$0.16,729.77
2022-09-30,184.35,$0.13,1366.57
2022-06-30,167.38,$-0.87,0.0
2022-03-31,171.77,$-2.57,0.0
2021-12-31,159.49,$-1.80,0.0
2021-09-30,191.11,$-0.56,0.0
2021-06-30,146.32,$0.87,169.12
2021-03-31,142.35,$3.41,41.69
2020-12-31,117.79,$3.92,30.09
2020-09-30,70.27,$5.10,13.77
2020-06-30,48.49,$4.93,9.84
2020-03-31,28.98,$4.36,6.65
2019-12-31,67.49,$2.78,24.3
2019-09-30,62.36,$0.77,81.51
2019-06-30,76.88,$0.42,182.92
2019-03-31,90.52,$0.03,2593.7
2018-12-31,65.03,$1.63,39.96
2018-09-30,78.33,$1.73,45.3
2018-06-30,61.68,$1.75,35.16
2018-03-31,59.03,$1.06,55.7
2017-12-31,46.86,$0.39,120.37
2017-09-30,39.23,$0.43,91.72
2017-06-30,34.73,$1.82,19.09
2017-03-31,34.94,$3.61,9.67
2016-12-31,36.02,$4.93,7.31
2016-09-30,32.83,$5.46,6.01
2016-06-30,24.13,$4.81,5.01
2016-03-31,21.72,$3.31,6.56
2015-12-31,17.96,$1.78,10.08
2015-09-30,19.21,$1.69,11.34
2015-06-30,35.75,$0.77,46.37
2015-03-31,35.08,$1.11,31.71
2014-12-31,34.2,$1.89,18.06
2014-09-30,61.13,$1.38,44.43
2014-06-30,82.73,$0.81,102.68
2014-03-31,79.45,$1.12,70.91
2013-12-31,95.64,$-0.39,0.0
2013-09-30,123.04,$0.98,125.23
2013-06-30,94.09,$1.64,57.23
2013-03-31,80.01,$-1.63,0.0
2012-12-31,66.69,$0.79,83.97
2012-09-30,73.85,$0.43,171.7
2012-06-30,68.76,$0.13,543.56
2011-12-31,54.07,$1.98,27.28
2011-09-30,42.18,$2.02,20.88
2011-06-30,53.98,$-0.07,0.0
2011-03-31,55.04,$0.56,97.76
2010-12-31,33.78,$1.44,23.46
2012-03-31,73.33,$0.35,208.86
2010-09-30,20.36,$1.11,18.39
2010-06-30,15.58,$1.94,8.03
2010-03-31,20.0,$2.75,7.28
2009-12-31,16.52,$4.40,3.75
