Summit Therapeutics Price to Free Cash Flow Ratio Historical Data,Summit Therapeutics Price to Free Cash Flow Ratio Historical Data,Summit Therapeutics Price to Free Cash Flow Ratio Historical Data,Summit Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.57,,0.0
2024-06-30,7.8,$-0.15,0.0
2024-03-31,4.14,$-0.13,0.0
2023-12-31,2.61,$-0.12,0.0
2023-09-30,1.87,$-0.07,0.0
2023-06-30,2.51,$-0.00,0.0
2023-03-31,1.75,$-0.11,0.0
2022-12-31,4.25,$-0.22,0.0
2022-09-30,1.19,$-0.14,0.0
2022-06-30,1.0,$-0.40,0.0
2022-03-31,2.45,$-0.44,0.0
2021-12-31,2.69,$-0.55,0.0
2021-09-30,5.01,$-0.74,0.0
2021-06-30,7.46,$-0.78,0.0
2021-03-31,5.87,$-0.87,0.0
2020-12-31,4.7,$-0.70,0.0
2020-09-30,3.44,$-0.73,0.0
2020-06-30,2.97,$-0.55,0.0
2020-03-31,2.37,$-0.43,0.0
2019-12-31,1.6,$-0.70,0.0
2019-10-31,1.65,$1.56,1.06
2019-09-30,1.79,$-0.44,0.0
2019-07-31,1.32,$-0.60,0.0
2019-04-30,1.76,$-1.08,0.0
2019-01-31,1.33,$-2.35,0.0
2018-10-31,1.7,$-1.77,0.0
2018-07-31,2.3,$-2.51,0.0
2018-04-30,13.03,$-0.71,0.0
2018-01-31,13.73,$-3.74,0.0
2017-10-31,10.28,$-0.94,0.0
2017-07-31,13.98,$2.93,4.78
2017-04-30,11.0,$1.71,6.42
2017-01-31,10.47,$5.31,1.97
2016-10-31,11.77,$1.78,6.61
2016-07-31,7.0,$-1.52,0.0
2016-04-30,9.98,$-1.72,0.0
2016-01-31,9.0,$-3.67,0.0
2015-10-31,10.1,$-1.45,0.0
