Teck Resources Price to Free Cash Flow Ratio Historical Data,Teck Resources Price to Free Cash Flow Ratio Historical Data,Teck Resources Price to Free Cash Flow Ratio Historical Data,Teck Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.5,,0.0
2024-06-30,47.26,$-0.92,0.0
2024-03-31,45.08,$-1.63,0.0
2023-12-31,41.54,$-0.84,0.0
2023-09-30,42.25,$-1.59,0.0
2023-06-30,41.19,$-0.05,0.0
2023-03-31,35.64,$2.75,12.94
2022-12-31,36.47,$5.11,7.14
2022-09-30,29.25,$7.29,4.02
2022-06-30,29.32,$6.88,4.26
2022-03-31,38.65,$3.54,10.92
2021-12-31,27.23,$1.02,26.65
2021-09-30,23.5,$-0.92,0.0
2021-06-30,21.71,$-1.93,0.0
2021-03-31,18.04,$-1.87,0.0
2020-12-31,17.04,$-2.19,0.0
2020-09-30,13.04,$-1.86,0.0
2020-06-30,9.73,$-1.20,0.0
2020-03-31,7.04,$0.15,47.26
2019-12-31,16.09,$0.94,17.17
2019-09-30,15.0,$0.73,20.69
2019-06-30,21.27,$2.20,9.68
2019-03-31,21.34,$2.50,8.55
2018-12-31,19.8,$3.36,5.9
2018-09-30,22.04,$4.75,4.64
2018-06-30,23.24,$3.83,6.07
2018-03-31,23.49,$4.22,5.57
2017-12-31,23.83,$4.53,5.26
2017-09-30,18.92,$4.88,3.88
2017-06-30,15.52,$4.62,3.36
2017-03-31,19.53,$3.28,5.95
2016-12-31,17.86,$2.15,8.31
2016-09-30,16.05,$0.97,16.52
2016-06-30,11.72,$0.62,18.99
2016-03-31,6.75,$0.60,11.31
2015-12-31,3.42,$0.50,6.81
2015-09-30,4.22,$0.78,5.38
2015-06-30,8.71,$0.84,10.35
2015-03-31,11.94,$1.00,11.94
2014-12-31,11.86,$1.23,9.67
2014-09-30,15.9,$1.13,14.12
2014-06-30,19.22,$1.73,11.09
2014-03-31,17.9,$1.31,13.69
2013-12-31,21.48,$1.72,12.49
2013-09-30,21.76,$1.64,13.23
2013-06-30,17.33,$0.90,19.19
2013-03-31,22.4,$1.78,12.62
2012-12-31,28.92,$1.69,17.12
2012-09-30,23.13,$2.76,8.39
2012-06-30,24.3,$4.30,5.65
2012-03-31,27.67,$5.23,5.29
2011-12-31,27.3,$4.67,5.84
2011-09-30,22.39,$4.39,5.11
2011-06-30,38.92,$3.48,11.17
2011-03-31,40.4,$2.64,15.31
2010-12-31,47.11,$3.18,14.81
2010-09-30,31.2,$2.62,11.92
2010-06-30,22.42,$2.62,8.56
2010-03-31,32.83,$2.47,13.27
2009-12-31,26.36,$3.58,7.37
