APi Group Price to Free Cash Flow Ratio Historical Data,APi Group Price to Free Cash Flow Ratio Historical Data,APi Group Price to Free Cash Flow Ratio Historical Data,APi Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.01,,14.92
2024-06-30,37.63,$2.28,16.5
2024-03-31,39.27,$2.15,18.26
2023-12-31,34.6,$2.05,16.87
2023-09-30,25.93,$1.28,20.31
2023-06-30,27.26,$1.26,21.61
2023-03-31,22.48,$1.26,17.81
2022-12-31,18.81,$0.78,24.05
2022-09-30,13.27,$0.65,20.35
2022-06-30,14.97,$0.39,38.67
2022-03-31,21.03,$0.08,253.68
2021-12-31,25.77,$0.71,36.11
2021-09-30,20.35,$1.25,16.34
2021-06-30,20.89,$1.54,13.6
2021-03-31,20.68,$2.89,7.15
