KB Home Price to Free Cash Flow Ratio Historical Data,KB Home Price to Free Cash Flow Ratio Historical Data,KB Home Price to Free Cash Flow Ratio Historical Data,KB Home Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,83.73,,26.49
2024-08-31,83.71,$3.16,26.48
2024-05-31,70.38,$6.46,10.9
2024-02-29,65.98,$11.81,5.59
2023-11-30,51.58,$12.56,4.11
2023-08-31,50.1,$13.47,3.72
2023-05-31,42.57,$12.28,3.47
2023-02-28,34.54,$5.41,6.39
2022-11-30,30.62,$1.55,19.8
2022-08-31,27.8,$-1.49,0.0
2022-05-31,33.3,$-4.17,0.0
2022-02-28,37.12,$-2.76,0.0
2021-11-30,38.32,$-0.82,0.0
2021-08-31,41.09,$-2.51,0.0
2021-05-31,44.53,$1.12,39.68
2021-02-28,38.3,$2.24,17.1
2020-11-30,33.26,$3.00,11.1
2020-08-31,33.64,$7.50,4.48
2020-05-31,31.04,$5.93,5.24
2020-02-29,30.47,$4.22,7.22
2019-11-30,32.26,$2.31,13.99
2019-08-31,26.13,$0.73,35.97
2019-05-31,23.3,$0.21,109.03
2019-02-28,21.13,$1.68,12.58
2018-11-30,19.33,$2.12,9.12
2018-08-31,22.72,$3.63,6.26
2018-05-31,24.06,$5.62,4.28
2018-02-28,25.32,$4.30,5.89
2017-11-30,28.6,$5.14,5.57
2017-08-31,19.5,$3.99,4.88
2017-05-31,19.09,$3.01,6.35
2017-02-28,16.13,$2.55,6.32
2016-11-30,14.38,$1.91,7.53
2016-08-31,14.22,$0.85,16.78
2016-05-31,12.61,$1.27,9.91
2016-02-29,11.01,$0.75,14.74
2015-11-30,12.69,$1.72,7.39
2015-08-31,13.17,$0.42,31.67
2015-05-31,13.27,$-2.16,0.0
2015-02-28,12.5,$-4.53,0.0
2014-11-30,15.71,$-6.41,0.0
2014-08-31,15.85,$-7.65,0.0
2014-05-31,14.69,$-7.26,0.0
2014-02-28,18.16,$-4.58,0.0
2013-11-30,15.58,$-4.87,0.0
2013-08-31,14.23,$-2.86,0.0
2013-05-31,19.64,$-1.61,0.0
2013-02-28,16.55,$-0.81,0.0
2012-11-30,12.69,$0.43,29.78
2012-08-31,9.74,$-1.48,0.0
2012-05-31,6.38,$-2.16,0.0
2012-02-29,10.02,$-3.80,0.0
2011-11-30,6.41,$-3.47,0.0
2011-08-31,5.7,$-2.58,0.0
2011-05-31,10.53,$-2.76,0.0
2011-02-28,11.3,$-3.08,0.0
2010-11-30,9.6,$-1.75,0.0
2010-08-31,8.71,$0.94,9.3
2010-05-31,12.17,$1.99,6.11
2010-02-28,13.63,$3.45,3.95
2009-11-30,11.3,$4.55,2.49
