GSK Price to Free Cash Flow Ratio Historical Data,GSK Price to Free Cash Flow Ratio Historical Data,GSK Price to Free Cash Flow Ratio Historical Data,GSK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.96,,10.42
2024-06-30,38.14,$3.74,10.21
2024-03-31,42.11,$3.86,10.9
2023-12-31,36.06,$3.32,10.87
2023-09-30,34.91,$2.81,12.41
2023-06-30,33.99,$2.05,16.55
2023-03-31,33.59,$2.22,15.11
2022-12-31,32.85,$3.88,8.47
2022-09-30,27.23,$5.08,5.36
2022-06-30,49.81,$6.21,8.02
2022-03-31,49.46,$6.20,7.98
2021-12-31,49.35,$4.76,10.37
2021-09-30,42.23,$4.58,9.22
2021-06-30,43.48,$3.48,12.48
2021-03-31,38.45,$4.26,9.02
2020-12-31,38.93,$4.64,8.39
2020-09-30,39.28,$4.48,8.76
2020-06-30,42.06,$5.36,7.85
2020-03-31,38.63,$4.56,8.47
2019-12-31,47.28,$4.36,10.84
2019-09-30,42.46,$4.91,8.65
2019-06-30,39.36,$4.74,8.31
2019-03-31,40.62,$4.72,8.6
2018-12-31,36.59,$4.86,7.52
2018-09-30,38.02,$3.92,9.71
2018-06-30,37.7,$3.79,9.96
2018-03-31,36.08,$3.55,10.15
2017-12-31,32.18,$3.69,8.73
2017-09-30,36.32,$2.99,12.13
2017-06-30,38.09,$2.64,14.44
2017-03-31,36.81,$2.29,16.08
2016-09-30,36.71,$2.51,14.63
2016-06-30,36.51,$1.78,20.51
2016-03-31,33.76,$-7.04,0.0
2015-12-31,32.58,$1.00,32.7
2015-09-30,30.63,$1.75,17.54
2015-06-30,32.75,$2.39,13.68
2015-03-31,35.82,$10.99,3.26
2014-12-31,32.69,$3.42,9.57
2014-09-30,34.69,$3.52,9.84
2014-06-30,39.82,$4.13,9.64
2014-03-31,39.32,$4.79,8.21
2013-12-31,38.77,$4.98,7.78
2013-09-30,36.01,$4.65,7.75
2013-06-30,35.48,$2.83,12.53
2013-03-31,32.95,$2.91,11.31
2012-12-31,30.08,$2.78,10.84
2012-09-30,31.56,$2.94,10.72
2012-06-30,30.76,$4.64,6.62
2012-03-31,29.95,$4.36,6.87
2011-12-31,29.88,$4.33,6.9
2011-09-30,26.7,$3.85,6.94
2011-06-30,27.42,$2.94,9.32
2011-03-31,24.25,$3.56,6.81
2010-12-31,24.37,$4.38,5.57
2010-09-30,24.25,$4.59,5.28
2010-06-30,20.6,$5.69,3.62
2010-03-31,23.04,$5.29,4.36
2009-12-31,24.89,$4.84,5.15
