Viking Therapeutics Price to Free Cash Flow Ratio Historical Data,Viking Therapeutics Price to Free Cash Flow Ratio Historical Data,Viking Therapeutics Price to Free Cash Flow Ratio Historical Data,Viking Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.62,,0.0
2024-06-30,53.01,$-0.78,0.0
2024-03-31,82.0,$-0.84,0.0
2023-12-31,18.61,$-0.92,0.0
2023-09-30,11.07,$-0.88,0.0
2023-03-31,16.65,$-0.81,0.0
2022-12-31,9.4,$-0.63,0.0
2022-09-30,2.72,$-0.74,0.0
2022-06-30,2.89,$-0.48,0.0
2022-03-31,3.0,$-0.44,0.0
2021-12-31,4.6,$-0.47,0.0
2023-06-30,16.21,$-0.36,0.0
2021-09-30,6.28,$-0.53,0.0
2021-06-30,5.99,$-0.46,0.0
2021-03-31,6.33,$-0.39,0.0
2020-12-31,5.63,$-0.30,0.0
2020-09-30,5.82,$-0.39,0.0
2020-06-30,7.21,$-0.36,0.0
2020-03-31,4.68,$-0.36,0.0
2019-12-31,8.02,$-0.34,0.0
2019-09-30,6.88,$-0.24,0.0
2019-06-30,8.3,$-0.26,0.0
2019-03-31,9.94,$-0.25,0.0
2018-12-31,7.65,$-0.33,0.0
2018-09-30,17.42,$-0.44,0.0
2018-06-30,9.49,$-0.46,0.0
2018-03-31,4.37,$-0.54,0.0
2017-12-31,4.06,$-0.57,0.0
2017-09-30,1.91,$-0.62,0.0
2017-06-30,1.08,$-0.64,0.0
2017-03-31,1.46,$-0.52,0.0
2016-12-31,1.19,$-0.68,0.0
2016-09-30,1.4,$-1.22,0.0
2016-06-30,1.26,$-1.44,0.0
2016-03-31,1.42,$-1.68,0.0
