Kadant Inc Price to Free Cash Flow Ratio Historical Data,Kadant Inc Price to Free Cash Flow Ratio Historical Data,Kadant Inc Price to Free Cash Flow Ratio Historical Data,Kadant Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,334.68,,30.21
2024-06-30,293.19,$11.08,26.47
2024-03-31,327.1,$10.28,31.81
2023-12-31,279.15,$11.54,24.19
2023-09-30,224.33,$9.21,24.37
2023-06-30,220.6,$7.52,29.33
2023-03-31,206.81,$-3.67,0.0
2022-12-31,175.92,$-1.49,0.0
2022-09-30,164.93,$-0.52,0.0
2022-06-30,180.04,$1.52,118.8
2021-12-31,227.0,$12.99,17.48
2021-09-30,200.76,$11.35,17.68
2021-06-30,172.97,$10.34,16.73
2021-03-31,181.48,$8.54,21.26
2020-12-31,138.06,$7.39,18.69
2020-09-30,107.13,$7.17,14.94
2020-06-30,97.18,$7.29,13.33
2020-03-31,72.55,$3.88,18.69
2019-12-31,102.16,$4.17,24.48
2019-09-30,84.91,$2.33,36.43
2019-06-30,87.6,$2.32,37.7
2018-12-31,78.38,$4.09,19.17
2018-09-30,103.54,$7.04,14.72
2018-06-30,92.09,$6.49,14.19
2018-03-31,90.3,$4.57,19.75
2017-12-31,95.73,$6.34,15.1
2019-03-31,84.64,$2.79,30.29
2017-09-30,93.77,$3.36,27.89
2017-06-30,71.35,$4.44,16.08
2017-03-31,56.12,$3.60,15.58
2016-12-31,57.69,$4.09,14.1
2016-09-30,48.93,$3.81,12.86
2016-06-30,48.2,$3.90,12.35
2016-03-31,42.08,$3.95,10.66
2015-12-31,37.67,$3.15,11.97
2015-09-30,36.04,$3.67,9.81
2015-06-30,43.44,$3.59,12.1
2015-03-31,48.27,$3.15,15.31
2014-12-31,39.03,$3.98,9.81
2014-09-30,35.55,$3.14,11.31
2014-06-30,34.87,$2.88,12.11
2014-03-31,32.93,$3.27,10.06
2013-12-31,36.48,$3.29,11.1
2013-09-30,30.12,$3.50,8.61
2013-06-30,26.94,$3.59,7.5
2013-03-31,22.21,$3.10,7.16
2012-12-31,23.55,$2.21,10.64
2012-09-30,20.6,$2.32,8.88
2012-06-30,20.84,$2.34,8.9
2012-03-31,21.16,$0.04,478.82
2011-12-31,20.09,$2.34,8.6
2011-09-30,15.78,$1.28,12.35
2011-06-30,28.0,$1.22,23.02
2022-03-31,191.47,$3.49,54.92
2011-03-31,23.27,$2.21,10.53
2010-12-31,20.94,$2.24,9.35
2010-09-30,16.8,$2.10,8.0
2010-06-30,15.48,$2.55,6.07
2010-03-31,12.8,$2.24,5.73
2009-12-31,14.18,$3.28,4.32
