HubSpot Price to Free Cash Flow Ratio Historical Data,HubSpot Price to Free Cash Flow Ratio Historical Data,HubSpot Price to Free Cash Flow Ratio Historical Data,HubSpot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,533.38,,82.55
2024-06-30,589.79,$6.46,91.28
2024-03-31,626.56,$5.70,110.01
2023-12-31,580.54,$5.03,115.42
2023-09-30,492.5,$4.92,100.12
2023-06-30,532.09,$4.46,119.42
2023-03-31,428.75,$3.94,108.95
2022-12-31,289.13,$3.98,72.61
2022-09-30,270.12,$4.14,65.22
2022-06-30,300.65,$3.97,75.69
2022-03-31,474.94,$3.98,119.33
2021-12-31,659.15,$3.77,174.76
2021-09-30,676.09,$3.15,214.95
2021-06-30,582.72,$3.17,183.79
2021-03-31,454.21,$1.61,281.59
2020-12-31,396.44,$0.67,590.64
2020-09-30,292.23,$0.25,1150.51
2020-06-30,224.35,$-0.18,0.0
2020-03-31,133.19,$0.96,138.77
2019-12-31,158.5,$1.55,102.28
2019-09-30,151.61,$1.61,94.03
2019-06-30,170.52,$1.54,110.81
2019-03-31,166.21,$1.62,102.84
2018-12-31,125.73,$1.33,94.29
2018-09-30,150.95,$0.87,172.95
2018-06-30,125.4,$0.84,149.06
2018-03-31,108.3,$0.76,143.41
2017-12-31,88.4,$0.60,146.21
2017-09-30,84.05,$0.36,232.57
2017-06-30,65.75,$0.36,182.59
2017-03-31,60.55,$0.40,150.92
2016-12-31,47.0,$-0.06,0.0
2016-09-30,57.62,$-0.16,0.0
2016-06-30,43.42,$-0.39,0.0
2016-03-31,43.62,$-0.45,0.0
2015-12-31,56.31,$-0.40,0.0
2015-09-30,46.37,$-2.35,0.0
