Fortis Price to Free Cash Flow Ratio Historical Data,Fortis Price to Free Cash Flow Ratio Historical Data,Fortis Price to Free Cash Flow Ratio Historical Data,Fortis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.76,,0.0
2024-06-30,38.32,$-1.51,0.0
2024-03-31,38.57,$-1.14,0.0
2023-12-31,39.71,$-0.67,0.0
2023-09-30,36.3,$-0.19,0.0
2023-06-30,40.74,$-0.60,0.0
2023-03-31,39.84,$-0.72,0.0
2022-12-31,37.12,$-0.82,0.0
2022-09-30,34.86,$-0.94,0.0
2022-06-30,42.99,$-0.61,0.0
2022-03-31,44.63,$-0.52,0.0
2021-12-31,43.12,$-0.48,0.0
2021-09-30,39.23,$-0.97,0.0
2021-06-30,38.8,$-1.11,0.0
2021-03-31,37.7,$-1.06,0.0
2020-12-31,35.14,$-1.85,0.0
2020-09-30,34.85,$-3.48,0.0
2020-06-30,32.18,$-3.35,0.0
2020-03-31,32.28,$-1.98,0.0
2019-12-31,34.49,$-1.44,0.0
2019-09-30,34.85,$0.31,111.2
2019-06-30,32.23,$0.53,61.29
2019-03-31,29.93,$-0.95,0.0
2018-12-31,26.74,$-0.78,0.0
2018-09-30,25.74,$-0.25,0.0
2018-06-30,25.06,$-0.06,0.0
2018-03-31,26.27,$0.02,1484.44
2017-12-31,28.23,$-0.09,0.0
2017-09-30,27.29,$0.10,261.42
