BRP Price to Free Cash Flow Ratio Historical Data,BRP Price to Free Cash Flow Ratio Historical Data,BRP Price to Free Cash Flow Ratio Historical Data,BRP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,57.27,,9.25
2024-07-31,72.17,$6.19,11.66
2024-04-30,66.88,$9.81,6.82
2024-01-31,62.6,$10.47,5.98
2023-10-31,66.96,$7.42,9.02
2023-07-31,91.13,$7.46,12.22
2023-04-30,73.78,$5.90,12.5
2023-01-31,82.32,$0.46,179.54
2022-10-31,65.75,$3.69,17.83
2022-07-31,74.69,$-1.66,0.0
2022-04-30,79.39,$-3.46,0.0
2022-01-31,81.32,$1.33,61.36
2021-10-31,86.14,$-0.60,0.0
2021-07-31,81.75,$5.14,15.9
2021-04-30,89.61,$5.40,16.59
2021-01-31,64.17,$6.16,10.42
2020-10-31,52.46,$4.41,11.91
2020-07-31,43.54,$3.17,13.72
2020-04-30,28.94,$3.18,9.09
2020-01-31,49.66,$2.21,22.46
2019-10-31,43.64,$2.67,16.34
2019-07-31,34.17,$3.37,10.14
