Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data,Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data,Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data,Fortune Brands Innovations Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,88.87,,22.64
2024-06-30,64.75,$3.93,16.49
2024-03-31,84.13,$4.95,17.0
2023-12-31,75.43,$6.28,12.01
2023-09-30,61.37,$6.75,9.09
2023-06-30,70.79,$6.09,11.62
2023-03-31,57.57,$4.51,12.76
2022-12-31,55.77,$2.50,22.3
2022-09-30,52.21,$2.06,25.29
2022-06-30,57.99,$1.50,38.67
2022-03-31,71.65,$2.32,30.82
2021-12-31,102.78,$3.42,30.09
2021-09-30,85.76,$3.97,21.61
2021-06-30,95.28,$4.66,20.45
2021-03-31,91.43,$4.45,20.57
2020-12-31,81.54,$4.83,16.89
2020-09-30,82.07,$4.80,17.11
2020-06-30,60.47,$4.76,12.71
2020-03-31,40.75,$4.14,9.85
2019-12-31,61.33,$3.61,17.0
2019-09-30,51.17,$3.44,14.86
2019-06-30,53.21,$3.09,17.2
2019-03-31,44.15,$2.92,15.14
2018-12-31,35.07,$3.14,11.16
2018-09-30,48.33,$2.80,17.26
2018-06-30,49.37,$2.57,19.24
2018-03-31,53.97,$2.52,21.45
2017-12-31,62.52,$2.80,22.36
2017-09-30,61.25,$3.10,19.79
2017-06-30,59.26,$3.34,17.75
2017-03-31,55.12,$3.21,17.17
2016-12-31,48.27,$3.20,15.08
2016-09-30,52.31,$2.43,21.5
2016-06-30,52.06,$2.43,21.43
2016-03-31,50.19,$2.11,23.82
2015-12-31,49.56,$1.86,26.64
2015-09-30,42.28,$1.85,22.86
2015-06-30,40.69,$1.31,31.08
2015-03-31,42.04,$1.32,31.96
2014-12-31,39.96,$0.84,47.68
2014-09-30,36.19,$0.70,51.71
2014-06-30,35.06,$0.64,55.15
2014-03-31,36.83,$0.66,55.88
2013-12-31,39.9,$1.19,33.62
2013-09-30,36.26,$1.48,24.56
2013-06-30,33.65,$1.26,26.67
2013-03-31,32.44,$1.15,28.14
2012-12-31,25.32,$1.33,19.01
2012-09-30,23.41,$1.32,17.69
2012-06-30,19.3,$0.87,22.21
