SEI Investments Price to Free Cash Flow Ratio Historical Data,SEI Investments Price to Free Cash Flow Ratio Historical Data,SEI Investments Price to Free Cash Flow Ratio Historical Data,SEI Investments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,73.36,,22.41
2024-06-30,64.69,$3.27,19.76
2024-03-31,71.39,$0.03,2051.56
2023-12-31,63.1,$0.18,351.74
2023-09-30,59.38,$0.06,922.06
2023-06-30,58.78,$-0.65,0.0
2022-12-31,57.06,$3.58,15.95
2022-09-30,47.66,$6.08,7.84
2022-06-30,52.48,$6.21,8.46
2022-03-31,58.08,$6.84,8.49
2021-12-31,58.78,$6.29,9.35
2023-03-31,56.33,$3.80,14.81
2021-09-30,56.81,$3.59,15.82
2021-06-30,59.37,$4.34,13.67
2021-03-31,58.03,$3.62,16.03
2020-12-31,54.73,$3.67,14.91
2020-09-30,47.99,$4.12,11.64
2020-03-31,43.57,$3.22,13.53
2019-12-31,61.57,$3.02,20.38
2019-09-30,55.42,$3.85,14.41
2019-06-30,52.47,$2.10,25.04
2019-03-31,48.58,$2.08,23.39
2018-12-31,42.95,$2.67,16.08
2020-06-30,52.02,$1.45,35.83
2018-09-30,56.39,$3.03,18.64
2018-06-30,57.7,$2.82,20.48
2018-03-31,68.82,$2.50,27.53
2017-12-31,66.02,$2.30,28.69
2017-09-30,55.86,$2.28,24.52
2017-06-30,49.2,$2.20,22.36
2017-03-31,45.9,$2.08,22.07
2016-12-31,44.91,$2.14,20.96
2016-09-30,41.27,$2.09,19.75
2016-06-30,43.53,$2.05,21.25
2016-03-31,38.75,$1.99,19.48
2015-12-31,47.16,$1.97,23.98
2015-09-30,43.2,$1.97,21.88
2015-06-30,43.91,$1.93,22.74
2015-03-31,39.3,$2.01,19.57
2014-12-31,35.69,$1.80,19.77
2014-09-30,32.04,$1.66,19.3
2014-06-30,29.03,$1.74,16.73
2014-03-31,29.58,$1.66,17.77
2013-12-31,30.56,$1.68,18.18
2013-09-30,27.03,$1.73,15.67
2013-06-30,24.86,$1.48,16.79
2013-03-31,25.05,$1.24,20.27
2012-12-31,20.27,$1.16,17.53
2012-09-30,18.24,$0.93,19.56
2012-06-30,16.92,$0.99,17.13
2012-03-31,17.45,$0.99,17.58
2011-12-31,14.64,$1.11,13.23
2011-09-30,12.86,$1.24,10.4
2011-06-30,18.83,$1.10,17.07
2011-03-31,19.86,$1.12,17.78
2010-12-31,19.79,$0.93,21.28
2010-09-30,16.85,$0.90,18.65
2010-06-30,16.86,$1.11,15.14
2010-03-31,18.11,$1.33,13.65
2009-12-31,14.44,$1.47,9.81
