Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data,Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data,Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data,Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,103.44,,13.25
2024-06-30,82.1,$7.81,10.52
2024-03-31,83.44,$4.46,18.72
2023-12-31,70.17,$0.35,202.11
2023-09-30,54.53,$-3.82,0.0
2023-06-30,73.7,$-3.56,0.0
2023-03-31,53.08,$1.58,33.62
2022-12-31,57.72,$9.36,6.17
2022-09-30,49.71,$11.41,4.36
2022-06-30,50.71,$14.41,3.52
2022-03-31,59.91,$14.49,4.13
2021-12-31,75.32,$12.55,6.0
2021-09-30,58.84,$14.91,3.95
2021-06-30,57.62,$11.41,5.05
2021-03-31,52.87,$8.11,6.52
2020-12-31,35.32,$5.20,6.8
2020-09-30,27.9,$2.98,9.36
2020-06-30,24.14,$1.34,18.05
2020-03-31,16.05,$0.41,39.12
2019-12-31,27.6,$-0.03,0.0
2019-09-30,22.76,$-0.30,0.0
2019-06-30,24.14,$0.17,140.92
2019-03-31,22.32,$1.40,15.91
2018-12-31,20.24,$2.06,9.81
2018-09-30,23.99,$2.54,9.44
2018-06-30,24.54,$2.65,9.26
2018-03-31,25.82,$2.19,11.8
2017-12-31,23.46,$2.23,10.54
2017-09-30,24.2,$1.94,12.46
2017-06-30,21.54,$1.95,11.06
2017-03-31,22.18,$1.68,13.22
2016-12-31,16.91,$1.50,11.28
2016-09-30,16.82,$1.00,16.82
2016-06-30,15.5,$0.03,596.22
2016-03-31,15.3,$-0.39,0.0
2015-12-31,16.09,$-0.59,0.0
2015-09-30,12.72,$-0.82,0.0
2015-06-30,15.22,$-0.41,0.0
2015-03-31,14.75,$-0.57,0.0
2014-12-31,14.8,$-0.85,0.0
2014-09-30,12.14,$-0.60,0.0
2014-06-30,13.42,$-0.39,0.0
2014-03-31,15.07,$0.56,26.95
2013-12-31,16.54,$1.27,13.0
2013-09-30,15.72,$1.70,9.25
2013-06-30,13.21,$1.71,7.73
2013-03-31,19.3,$1.08,17.87
2012-12-31,17.26,$0.63,27.41
2012-09-30,11.17,$0.18,61.23
2012-06-30,9.72,$-0.21,0.0
2012-03-31,8.35,$-0.34,0.0
2011-12-31,7.21,$-0.45,0.0
2011-09-30,4.56,$-0.33,0.0
2011-06-30,7.27,$-0.30,0.0
2011-03-31,9.38,$0.01,651.49
2010-12-31,8.45,$0.28,29.81
2010-09-30,6.76,$0.49,13.92
2010-06-30,5.98,$0.35,17.23
2010-03-31,8.09,$0.29,27.95
2009-12-31,6.24,$0.54,11.47
