TFI Price to Free Cash Flow Ratio Historical Data,TFI Price to Free Cash Flow Ratio Historical Data,TFI Price to Free Cash Flow Ratio Historical Data,TFI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,138.14,,17.15
2024-06-30,144.74,$8.05,17.97
2024-03-31,158.56,$7.87,20.14
2023-12-31,134.87,$8.34,16.18
2023-09-30,126.99,$7.27,17.48
2023-06-30,112.4,$8.50,13.22
2023-03-31,117.3,$9.30,12.61
2022-12-31,98.28,$8.21,11.96
2022-09-30,88.4,$7.95,11.12
2022-06-30,78.21,$6.33,12.36
2022-03-31,103.41,$6.86,15.07
2021-12-31,108.57,$7.30,14.87
2021-09-30,98.72,$7.46,13.24
2021-06-30,87.9,$6.89,12.76
2021-03-31,71.88,$5.73,12.53
2020-12-31,49.44,$5.72,8.64
