Noble Price to Free Cash Flow Ratio Historical Data,Noble Price to Free Cash Flow Ratio Historical Data,Noble Price to Free Cash Flow Ratio Historical Data,Noble Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.48,,35.28
2024-06-30,44.65,$0.95,47.05
2024-03-31,48.49,$1.90,25.49
2023-12-31,48.16,$1.30,36.99
2023-09-30,50.65,$4.93,10.28
2023-06-30,41.31,$5.18,7.97
2023-03-31,39.47,$5.39,7.33
2022-12-31,37.71,$5.00,7.55
2022-09-30,29.7,$4.17,7.11
2022-06-30,25.35,$2.11,11.99
2022-03-31,35.05,$0.89,39.47
