BlackLine Price to Free Cash Flow Ratio Historical Data,BlackLine Price to Free Cash Flow Ratio Historical Data,BlackLine Price to Free Cash Flow Ratio Historical Data,BlackLine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.19,,29.58
2024-06-30,48.45,$2.00,24.21
2024-03-31,64.58,$1.74,37.2
2023-12-31,62.44,$1.37,45.43
2023-09-30,55.47,$1.22,45.32
2023-06-30,53.82,$1.07,50.38
2023-03-31,67.15,$0.77,86.84
2022-12-31,67.27,$0.43,155.04
2022-09-30,59.9,$0.36,167.65
2022-06-30,66.6,$0.25,270.62
2022-03-31,73.22,$0.47,156.42
2021-12-31,103.54,$0.97,106.31
2021-09-30,118.06,$0.85,138.24
2021-06-30,111.27,$1.01,109.89
2021-03-31,108.4,$0.98,111.04
2020-12-31,133.38,$0.66,201.36
2020-09-30,89.63,$0.62,143.91
2020-06-30,82.91,$0.43,194.17
2020-03-31,52.61,$0.44,119.6
2019-12-31,51.56,$0.36,142.39
2019-09-30,47.81,$0.30,161.19
2019-06-30,53.51,$0.21,253.36
2019-03-31,46.32,$0.12,393.21
2018-12-31,40.95,$0.08,527.71
2018-09-30,56.47,$0.06,927.26
2018-06-30,43.43,$0.01,0.0
2018-03-31,39.21,$-0.01,0.0
2017-12-31,32.8,$-0.04,0.0
2017-09-30,34.12,$-0.30,0.0
