SouthState Price to Free Cash Flow Ratio Historical Data,SouthState Price to Free Cash Flow Ratio Historical Data,SouthState Price to Free Cash Flow Ratio Historical Data,SouthState Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,102.98,,14.24
2024-06-30,75.95,$7.23,10.5
2024-03-31,83.97,$9.70,8.66
2023-12-31,82.86,$6.80,12.18
2023-09-30,65.59,$12.97,5.06
2023-06-30,63.64,$15.22,4.18
2023-03-31,68.35,$15.81,4.32
2022-12-31,72.79,$23.15,3.14
2022-09-30,74.99,$20.63,3.63
2022-06-30,72.69,$15.23,4.77
2022-03-31,76.37,$10.01,7.63
2021-12-31,74.57,$6.18,12.06
2021-09-30,69.1,$11.20,6.17
2021-06-30,75.15,$12.10,6.21
2021-03-31,71.78,$12.95,5.54
2020-12-31,65.71,$9.92,6.62
2020-09-30,43.46,$6.56,6.63
2020-06-30,42.68,$3.85,11.08
2020-03-31,52.11,$5.21,9.99
2019-12-31,76.53,$4.99,15.33
2019-09-30,66.06,$5.28,12.51
2019-06-30,64.26,$6.17,10.41
2019-03-31,59.29,$5.89,10.06
2018-12-31,51.72,$7.70,6.71
2018-09-30,70.38,$7.19,9.79
2018-06-30,73.72,$7.90,9.34
2018-03-31,72.63,$7.60,9.55
2017-12-31,73.91,$6.11,12.1
2017-09-30,76.08,$5.48,13.89
2017-06-30,72.12,$4.49,16.05
2017-03-31,74.91,$4.21,17.8
2016-12-31,73.0,$4.64,15.75
2016-09-30,62.4,$5.28,11.82
2016-06-30,56.34,$6.94,8.12
2016-03-31,52.95,$8.21,6.45
2015-12-31,59.04,$7.09,8.33
2015-09-30,62.88,$6.57,9.57
2015-06-30,61.95,$4.77,13.0
2015-03-31,55.58,$3.89,14.28
2014-12-31,54.31,$4.41,12.32
2014-09-30,45.12,$7.53,5.99
2014-06-30,49.04,$8.55,5.73
2014-03-31,50.17,$11.34,4.42
2013-12-31,53.11,$11.39,4.66
2013-09-30,43.92,$16.72,2.63
2013-06-30,39.98,$14.51,2.75
2013-03-31,39.84,$8.96,4.45
2012-12-31,31.63,$10.96,2.89
2012-09-30,31.56,$7.32,4.31
2012-06-30,27.49,$8.35,3.29
2012-03-31,25.38,$9.82,2.58
2011-12-31,22.39,$9.85,2.27
2011-09-30,18.93,$12.27,1.54
2011-06-30,21.87,$8.31,2.63
2011-03-31,25.24,$9.75,2.59
2010-12-31,24.7,$6.22,3.97
2010-09-30,23.39,$-1.28,0.0
2010-06-30,26.27,$5.55,4.73
2010-03-31,27.51,$4.29,6.42
2009-12-31,20.47,$2.81,7.27
