SLM Price to Free Cash Flow Ratio Historical Data,SLM Price to Free Cash Flow Ratio Historical Data,SLM Price to Free Cash Flow Ratio Historical Data,SLM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.64,,0.0
2024-06-30,20.68,$-1.36,0.0
2024-03-31,21.56,$-1.00,0.0
2023-12-31,18.82,$-0.62,0.0
2023-09-30,13.31,$-0.52,0.0
2023-06-30,15.83,$-0.24,0.0
2023-03-31,11.93,$-0.17,0.0
2022-12-31,15.86,$0.02,830.51
2022-09-30,13.28,$0.18,73.52
2022-06-30,15.02,$0.42,35.59
2022-03-31,17.21,$-0.06,0.0
2021-12-31,18.33,$-0.15,0.0
2021-09-30,16.3,$-0.23,0.0
2021-06-30,19.36,$-0.87,0.0
2021-03-31,16.59,$-0.70,0.0
2020-12-31,11.42,$-0.47,0.0
2020-09-30,7.44,$-0.41,0.0
2020-06-30,6.44,$-0.06,0.0
2020-03-31,6.56,$0.28,23.81
2019-12-31,8.1,$-0.04,0.0
2019-09-30,8.0,$-0.20,0.0
2019-06-30,8.78,$-0.20,0.0
2019-03-31,8.92,$-0.16,0.0
2018-12-31,7.46,$-0.23,0.0
2018-09-30,10.01,$-0.31,0.0
2018-06-30,10.28,$-0.32,0.0
2018-03-31,10.07,$-0.40,0.0
2017-12-31,10.15,$-0.39,0.0
2017-09-30,10.3,$-0.42,0.0
2017-06-30,10.33,$-0.46,0.0
2017-03-31,10.87,$-0.37,0.0
2016-12-31,9.9,$-0.46,0.0
2016-09-30,6.71,$-0.23,0.0
2016-06-30,5.55,$-0.26,0.0
2016-03-31,5.71,$-0.27,0.0
2015-12-31,5.86,$-0.20,0.0
2015-09-30,6.65,$-0.76,0.0
2015-06-30,8.86,$-0.67,0.0
2015-03-31,8.33,$-0.78,0.0
2014-12-31,9.15,$-1.01,0.0
2014-09-30,7.69,$-0.41,0.0
2014-06-30,7.46,$-0.25,0.0
2014-03-31,7.86,$-1.27,0.0
2013-12-31,8.38,$0.16,53.71
2013-09-30,7.9,$-3.90,0.0
2013-06-30,7.21,$-2.26,0.0
2013-03-31,6.42,$0.20,31.73
2012-12-31,5.32,$0.21,25.82
2012-09-30,4.85,$5.96,0.81
2012-06-30,4.81,$5.61,0.86
2012-03-31,4.78,$5.62,0.85
2011-12-31,4.03,$5.89,0.68
2011-09-30,3.72,$8.19,0.45
2011-06-30,4.98,$5.14,0.97
2011-03-31,4.51,$-1.75,0.0
2010-12-31,3.71,$-13.71,0.0
2010-09-30,3.4,$-22.01,0.0
2010-06-30,3.06,$-30.94,0.0
2010-03-31,3.69,$-32.54,0.0
2009-12-31,3.32,$-33.72,0.0
