Cosan S.A Price to Free Cash Flow Ratio Historical Data,Cosan S.A Price to Free Cash Flow Ratio Historical Data,Cosan S.A Price to Free Cash Flow Ratio Historical Data,Cosan S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.44,,3376.0
2024-06-30,9.74,$0.00,0.0
2024-03-31,12.95,$0.48,27.04
2023-09-30,13.59,$1.25,10.87
2021-06-30,18.26,$0.10,186.48
2020-09-30,14.1,$1.92,7.34
2020-06-30,14.3,$2.84,5.03
2020-03-31,11.6,$2.91,3.98
2019-12-31,21.53,$3.80,5.66
2019-09-30,14.05,$3.14,4.48
2019-06-30,12.6,$2.17,5.81
2019-03-31,10.93,$1.55,7.06
2018-12-31,8.3,$2.96,2.8
2018-09-30,6.35,$2.66,2.38
2018-06-30,7.19,$2.72,2.64
2018-03-31,9.71,$2.87,3.38
2017-12-31,9.07,$1.91,4.74
2017-09-30,7.6,$1.60,4.76
2017-06-30,5.99,$1.87,3.2
2017-03-31,7.91,$1.82,4.34
2016-12-31,6.96,$1.56,4.45
2016-09-30,6.62,$1.91,3.47
2016-06-30,6.03,$1.22,4.93
2016-03-31,4.56,$1.66,2.74
2015-12-31,3.42,$1.55,2.2
2015-09-30,2.68,$1.08,2.47
2015-06-30,5.71,$0.96,5.96
2015-03-31,5.86,$0.16,36.47
2014-12-31,7.18,$0.09,82.82
2014-09-30,9.97,$0.04,274.63
2014-06-30,12.56,$-0.14,0.0
2014-03-31,10.56,$-1.75,0.0
2013-12-31,12.71,$0.00,0.0
2013-09-30,14.24,$1.81,7.85
2013-06-30,14.64,$1.67,8.76
2013-03-31,17.66,$3.10,5.71
2012-12-31,15.68,$1.26,12.41
2012-09-30,14.37,$-0.87,0.0
2012-06-30,11.01,$-0.01,0.0
2012-03-31,12.89,$-0.58,0.0
2011-12-31,9.51,$-0.58,0.0
2011-09-30,8.22,0,0.0
2011-06-30,10.4,$-0.61,0.0
2011-03-31,10.92,0,0.0
2010-12-31,11.53,0,0.0
2010-09-30,9.81,0,0.0
2010-06-30,7.71,$-0.14,0.0
2010-03-31,7.79,0,0.0
2009-12-31,7.18,0,0.0
