Flex Price to Free Cash Flow Ratio Historical Data,Flex Price to Free Cash Flow Ratio Historical Data,Flex Price to Free Cash Flow Ratio Historical Data,Flex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.9,,12.66
2024-06-30,29.49,$2.76,10.7
2024-03-31,28.61,$1.86,15.37
2023-12-31,30.46,$1.09,28.05
2023-09-30,26.98,$1.16,23.19
2023-06-30,27.64,$0.51,54.35
2023-03-31,23.01,$0.73,31.73
2022-12-31,21.46,$0.65,33.02
2022-09-30,16.66,$0.29,56.78
2022-06-30,14.47,$0.67,21.48
2022-03-31,18.55,$1.23,15.13
2021-12-31,18.33,$0.97,18.82
2021-09-30,17.68,$1.46,12.14
2021-06-30,17.87,$1.65,10.8
2021-03-31,18.31,$-0.24,0.0
2020-12-31,17.98,$-0.32,0.0
2020-09-30,11.14,$-1.11,0.0
2020-06-30,10.25,$-3.64,0.0
2020-03-31,8.38,$-3.69,0.0
2019-12-31,12.62,$-5.27,0.0
2019-09-30,10.47,$-6.59,0.0
2019-06-30,9.57,$-6.23,0.0
2019-03-31,10.0,$-6.80,0.0
2018-12-31,7.61,$-7.02,0.0
2018-09-30,13.12,$-7.54,0.0
2018-06-30,14.11,$-8.73,0.0
2018-03-31,16.33,$-8.17,0.0
2017-12-31,17.99,$-15.59,0.0
2017-09-30,16.57,$-12.86,0.0
2017-06-30,16.31,$-9.63,0.0
2017-03-31,16.8,$-7.89,0.0
2016-12-31,14.37,$1.35,10.67
2016-09-30,13.62,$0.97,14.02
2016-06-30,11.8,$0.96,12.28
2016-03-31,12.06,$1.13,10.65
2015-12-31,11.21,$1.01,11.05
2015-09-30,10.54,$1.30,8.1
2015-06-30,11.31,$1.58,7.14
2015-03-31,12.68,$0.94,13.53
2014-12-31,11.18,$0.92,12.11
2014-09-30,10.32,$1.34,7.71
2014-06-30,11.07,$0.78,14.2
2014-03-31,9.24,$1.13,8.21
2013-12-31,7.77,$1.06,7.35
2013-09-30,9.09,$0.66,13.79
2013-06-30,7.74,$1.18,6.54
2013-03-31,6.76,$1.01,6.71
2012-12-31,6.21,$1.12,5.55
2012-09-30,6.0,$0.72,8.39
2012-06-30,6.2,$0.46,13.63
2012-03-31,7.22,$0.57,12.62
2011-12-31,5.66,$0.72,7.83
2011-09-30,5.63,$0.38,14.78
2011-06-30,6.42,$0.63,10.2
2011-03-31,7.47,$0.59,12.74
2010-12-31,7.85,$0.32,24.17
2010-09-30,6.04,$0.82,7.34
2010-06-30,5.6,$0.66,8.46
2010-03-31,7.84,$0.76,10.34
2009-12-31,7.31,$1.80,4.05
