Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.1,,0.0
2024-06-30,39.08,$-0.67,0.0
2024-03-31,52.86,$-3.71,0.0
2023-12-31,52.37,$-0.85,0.0
2023-09-30,44.59,$-0.40,0.0
2023-06-30,44.49,$0.38,117.55
2023-03-31,39.01,$0.80,48.48
2022-12-31,36.52,$0.68,53.55
2022-09-30,30.97,$-0.52,0.0
2022-06-30,31.94,$0.67,47.48
2022-03-31,31.01,$2.80,11.09
2021-12-31,34.48,$2.98,11.57
2021-09-30,29.14,$5.41,5.39
2021-06-30,24.17,$5.16,4.69
2021-03-31,28.46,$6.52,4.37
2020-12-31,23.81,$7.50,3.18
2020-09-30,18.48,$7.39,2.5
2020-06-30,14.82,$7.81,1.9
2020-03-31,12.63,$3.77,3.35
2019-12-31,18.86,$1.54,12.26
2019-09-30,16.43,$-0.62,0.0
2019-06-30,15.14,$-3.19,0.0
2019-03-31,17.04,$-2.12,0.0
2018-12-31,14.56,$-0.18,0.0
2018-09-30,16.26,$-0.60,0.0
2018-06-30,17.85,$-0.32,0.0
2018-03-31,16.42,$0.20,82.46
2017-12-31,19.6,$-0.58,0.0
2017-09-30,17.74,$1.46,12.18
2017-06-30,14.8,$3.10,4.78
2017-03-31,12.68,$3.17,4.01
2016-12-31,12.55,$3.69,3.41
2016-09-30,9.88,$2.72,3.63
2016-06-30,8.45,$0.77,10.97
2016-03-31,7.42,$0.90,8.24
2015-12-31,8.9,$-0.48,0.0
2015-09-30,9.48,$-0.84,0.0
2015-06-30,9.76,$-0.42,0.0
2014-12-31,11.45,$-1.87,0.0
2014-09-30,11.97,$-0.71,0.0
2014-06-30,12.79,$-0.45,0.0
2014-03-31,11.45,$-1.15,0.0
2013-12-31,10.37,$-0.19,0.0
2013-09-30,9.26,$0.51,18.02
2013-06-30,8.75,$1.98,4.43
2013-03-31,8.32,$0.85,9.73
2012-12-31,7.03,$0.82,8.6
2012-09-30,6.83,$-2.07,0.0
2015-03-31,10.05,$-4.44,0.0
2012-06-30,5.51,$-3.14,0.0
2012-03-31,7.03,$-4.18,0.0
2011-12-31,6.91,$-1.94,0.0
2011-09-30,4.75,$-1.33,0.0
2011-06-30,6.55,$-0.73,0.0
2010-12-31,7.35,$-0.20,0.0
2010-09-30,5.59,$1.12,4.98
2010-06-30,4.74,$0.92,5.16
2010-03-31,5.0,$1.43,3.49
2009-12-31,4.27,$1.97,2.17
2011-03-31,7.07,$0.66,10.77
