Permian Resources Price to Free Cash Flow Ratio Historical Data,Permian Resources Price to Free Cash Flow Ratio Historical Data,Permian Resources Price to Free Cash Flow Ratio Historical Data,Permian Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.21,,2.64
2024-06-30,15.92,$5.38,2.96
2024-03-31,17.2,$5.09,3.38
2023-12-31,13.12,$5.29,2.48
2023-09-30,13.35,$3.65,3.66
2023-06-30,10.4,$4.10,2.54
2023-03-31,9.86,$4.46,2.21
2022-12-31,8.79,$4.44,1.98
2022-09-30,6.33,$3.00,2.11
2022-06-30,5.56,$2.51,2.21
2022-03-31,7.51,$2.14,3.51
2021-12-31,5.56,$2.00,2.79
2021-09-30,6.23,$1.60,3.9
2021-06-30,6.31,$1.47,4.28
2021-03-31,3.91,$0.92,4.24
2020-12-31,1.4,$0.59,2.37
2020-09-30,0.56,$2.30,0.24
2020-06-30,0.83,$1.71,0.48
2020-03-31,0.24,$1.96,0.12
2019-12-31,4.3,$1.76,2.44
2019-09-30,4.2,$-1.96,0.0
2019-06-30,7.06,$-1.73,0.0
2019-03-31,8.18,$-1.61,0.0
2018-12-31,10.25,$-1.49,0.0
2018-09-30,20.33,$-1.20,0.0
2018-06-30,16.8,$-1.40,0.0
2018-03-31,17.07,$-3.00,0.0
2017-12-31,18.42,$-3.05,0.0
2017-09-30,16.72,$-2.57,0.0
2017-06-30,14.72,$-2.06,0.0
2017-03-31,16.96,$-0.39,0.0
