Sarepta Therapeutics Price to Free Cash Flow Ratio Historical Data,Sarepta Therapeutics Price to Free Cash Flow Ratio Historical Data,Sarepta Therapeutics Price to Free Cash Flow Ratio Historical Data,Sarepta Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,124.25,,0.0
2024-06-30,158.0,$-5.11,0.0
2024-03-31,129.46,$-6.53,0.0
2023-12-31,96.43,$-6.25,0.0
2023-09-30,121.22,$-6.81,0.0
2023-06-30,114.52,$-6.03,0.0
2023-03-31,137.83,$-5.33,0.0
2022-12-31,129.58,$-4.07,0.0
2022-09-30,110.54,$-3.21,0.0
2022-06-30,74.96,$-4.04,0.0
2022-03-31,78.12,$-4.61,0.0
2021-12-31,90.05,$-5.93,0.0
2021-09-30,92.48,$-8.22,0.0
2021-06-30,77.74,$-9.95,0.0
2021-03-31,74.53,$4.80,15.53
2020-12-31,170.49,$4.84,35.22
2020-09-30,140.43,$6.40,21.94
2020-06-30,160.34,$8.57,18.7
2019-12-31,129.04,$-7.01,0.0
2019-09-30,75.32,$-19.40,0.0
2019-06-30,151.95,$-10.28,0.0
2019-03-31,119.19,$-11.04,0.0
2018-12-31,109.13,$-10.69,0.0
2020-03-31,97.82,$3.45,28.32
2018-09-30,161.51,$-5.39,0.0
2018-06-30,132.18,$-4.07,0.0
2018-03-31,74.09,$-3.78,0.0
2017-12-31,55.64,$-4.15,0.0
2017-09-30,45.36,$-5.09,0.0
2017-06-30,33.71,$-5.61,0.0
2017-03-31,29.6,$-4.92,0.0
2016-12-31,27.43,$-5.16,0.0
2016-09-30,61.41,$-4.18,0.0
2016-06-30,19.07,$-4.14,0.0
2016-03-31,19.52,$-3.91,0.0
2015-12-31,38.58,$-3.61,0.0
2015-09-30,32.11,$-3.69,0.0
2015-06-30,30.43,$-3.67,0.0
2015-03-31,13.28,$-4.02,0.0
2014-12-31,14.47,$-3.85,0.0
2014-09-30,21.1,$-3.60,0.0
2014-06-30,29.79,$-3.07,0.0
2014-03-31,24.03,$-2.40,0.0
2013-12-31,20.37,$-1.98,0.0
2013-09-30,47.23,$-1.70,0.0
2013-06-30,38.04,$-1.46,0.0
2013-03-31,36.95,$-1.33,0.0
2012-12-31,25.8,$-1.26,0.0
2012-09-30,15.53,$-1.30,0.0
2012-06-30,3.76,$-1.32,0.0
2012-03-31,9.24,$-1.04,0.0
2011-12-31,4.47,$-1.15,0.0
2011-09-30,6.72,$-0.96,0.0
2011-06-30,8.58,$-0.76,0.0
2011-03-31,11.16,$-1.02,0.0
2010-12-31,12.72,$-0.87,0.0
2010-09-30,10.98,$-0.87,0.0
2010-06-30,9.66,$-0.79,0.0
2010-03-31,7.08,$-0.86,0.0
2009-12-31,8.76,$-0.63,0.0
