First Financial Bankshares Price to Free Cash Flow Ratio Historical Data,First Financial Bankshares Price to Free Cash Flow Ratio Historical Data,First Financial Bankshares Price to Free Cash Flow Ratio Historical Data,First Financial Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.85,,21.33
2024-06-30,29.38,$1.82,16.13
2024-03-31,32.44,$1.76,18.46
2023-12-31,29.78,$1.90,15.69
2023-09-30,24.54,$1.97,12.44
2023-06-30,27.65,$2.12,13.05
2023-03-31,30.77,$2.22,13.84
2022-12-31,33.01,$2.16,15.27
2022-09-30,39.95,$2.29,17.42
2022-06-30,37.36,$2.46,15.16
2022-03-31,41.79,$2.28,18.34
2021-12-31,47.99,$2.35,20.4
2021-09-30,43.25,$2.27,19.07
2021-06-30,46.08,$1.59,29.04
2021-03-31,43.71,$1.85,23.63
2020-12-31,33.75,$1.37,24.58
2020-09-30,25.94,$1.29,20.09
2020-06-30,26.73,$1.43,18.71
2020-03-31,24.73,$1.12,22.06
2019-12-31,32.2,$1.44,22.39
2019-09-30,30.47,$1.18,25.87
2019-06-30,28.05,$1.40,20.0
2019-03-31,26.21,$1.58,16.56
2018-12-31,26.08,$1.25,20.91
2018-09-30,26.62,$1.35,19.77
2018-06-30,22.85,$1.29,17.71
2018-03-31,20.7,$1.06,19.6
2017-12-31,20.07,$1.37,14.61
2017-09-30,20.05,$1.34,14.97
2017-06-30,19.51,$1.16,16.86
2017-03-31,17.62,$1.06,16.63
2016-12-31,19.78,$1.09,18.17
2016-09-30,15.88,$0.95,16.64
2016-06-30,14.22,$1.03,13.84
2016-03-31,12.76,$0.94,13.6
2015-12-31,12.94,$0.72,17.9
2015-09-30,13.56,$0.85,16.01
2015-06-30,14.7,$0.78,18.75
2015-03-31,11.68,$0.88,13.2
2014-12-31,12.56,$0.92,13.61
2014-09-30,11.62,$0.83,14.02
2014-06-30,13.06,$0.93,14.0
2014-03-31,12.81,$0.83,15.45
2013-12-31,13.64,$0.81,16.88
2013-09-30,12.1,$0.79,15.24
2013-06-30,11.39,$0.60,19.09
2013-03-31,9.9,$0.72,13.71
2012-12-31,7.9,$0.68,11.68
2012-09-30,7.25,$0.64,11.27
2012-06-30,6.91,$0.67,10.24
2012-03-31,6.98,$0.66,10.58
2011-12-31,6.59,$0.68,9.63
2011-09-30,5.11,$0.68,7.55
2011-06-30,6.68,$0.67,9.96
2011-03-31,6.59,$0.73,8.98
2010-12-31,6.53,$0.56,11.6
2010-09-30,5.95,$0.54,11.03
2010-06-30,6.04,$0.83,7.3
2010-03-31,6.43,$1.18,5.43
2009-12-31,6.72,$1.36,4.96
