SM Energy Price to Free Cash Flow Ratio Historical Data,SM Energy Price to Free Cash Flow Ratio Historical Data,SM Energy Price to Free Cash Flow Ratio Historical Data,SM Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.52,,10.38
2024-06-30,43.06,$4.19,10.27
2024-03-31,49.47,$2.76,17.95
2023-12-31,38.23,$3.98,9.6
2023-09-30,39.01,$1.89,20.67
2023-06-30,30.99,$2.96,10.47
2023-03-31,27.44,$5.70,4.82
2022-12-31,33.79,$6.50,5.2
2022-09-30,36.36,$8.93,4.07
2022-06-30,33.05,$7.80,4.24
2022-03-31,37.65,$5.81,6.49
2021-12-31,28.49,$3.89,7.32
2021-09-30,25.49,$2.65,9.61
2021-06-30,23.8,$2.21,10.77
2021-03-31,15.81,$1.08,14.7
2020-12-31,5.91,$2.14,2.76
2020-09-30,1.53,$0.99,1.54
2020-06-30,3.6,$0.15,23.85
2020-03-31,1.16,$0.12,9.48
2019-12-31,10.73,$-1.69,0.0
2019-09-30,9.19,$-2.60,0.0
2019-06-30,11.87,$-3.16,0.0
2019-03-31,16.54,$-2.86,0.0
2018-12-31,14.64,$1.17,12.52
2018-09-30,29.75,$0.93,31.98
2018-06-30,24.24,$0.53,45.4
2018-03-31,16.98,$-0.10,0.0
2017-12-31,20.79,$2.82,7.38
2017-09-30,16.66,$-14.56,0.0
2017-06-30,15.52,$-10.83,0.0
2017-03-31,22.5,$-10.28,0.0
2016-12-31,32.3,$-17.17,0.0
2016-09-30,36.1,$1.23,29.28
2016-06-30,25.26,$-2.20,0.0
2016-03-31,17.5,$0.39,45.42
2015-12-31,18.36,$-2.26,0.0
2015-09-30,29.88,$-7.51,0.0
2015-06-30,43.02,$-14.71,0.0
2015-03-31,48.16,$-17.94,0.0
2014-12-31,35.95,$-14.97,0.0
2014-09-30,72.63,$-5.09,0.0
2014-06-30,78.31,$3.09,25.33
2014-03-31,66.34,$9.68,6.85
2013-12-31,77.33,$8.72,8.87
2013-09-30,71.78,$1.85,38.91
2013-06-30,55.78,$-0.46,0.0
2012-12-31,48.51,$-8.23,0.0
2012-09-30,50.23,$-12.66,0.0
2012-06-30,45.59,$-11.74,0.0
2012-03-31,65.65,$-10.71,0.0
2011-12-31,67.81,$-9.68,0.0
2013-03-31,55.03,$-5.36,0.0
2011-09-30,56.23,$-4.71,0.0
2011-06-30,68.12,$-4.80,0.0
2011-03-31,68.73,$0.36,189.71
2010-12-31,54.6,$2.72,20.07
2010-09-30,34.66,$4.02,8.61
2010-03-31,32.17,$5.72,5.63
2009-12-31,31.64,$1.55,20.44
2009-09-30,29.95,$4.29,6.98
