DraftKings Price to Free Cash Flow Ratio Historical Data,DraftKings Price to Free Cash Flow Ratio Historical Data,DraftKings Price to Free Cash Flow Ratio Historical Data,DraftKings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.65,,206.08
2024-06-30,38.17,$0.18,208.92
2024-03-31,45.41,$0.08,599.87
2023-12-31,35.25,$-0.22,0.0
2023-09-30,29.44,$-0.77,0.0
2023-06-30,26.57,$-0.92,0.0
2023-03-31,19.36,$-1.23,0.0
2022-12-31,11.39,$-1.65,0.0
2022-09-30,15.14,$-1.69,0.0
2022-06-30,11.67,$-2.01,0.0
2022-03-31,19.47,$-1.94,0.0
2021-12-31,27.47,$-1.20,0.0
2021-09-30,48.16,$-1.05,0.0
2021-06-30,52.17,$-0.96,0.0
2021-03-31,61.33,$-0.94,0.0
2020-12-31,46.56,$-0.28,0.0
2020-09-30,58.84,$0.12,502.05
2020-03-31,12.34,$-0.31,0.0
