Howard Hughes Holdings Price to Free Cash Flow Ratio Historical Data,Howard Hughes Holdings Price to Free Cash Flow Ratio Historical Data,Howard Hughes Holdings Price to Free Cash Flow Ratio Historical Data,Howard Hughes Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,76.52,,inf
2024-06-30,64.82,0,0.0
2024-03-31,72.62,0,0.0
2023-12-31,85.55,0,0.0
2023-09-30,74.13,0,0.0
2023-06-30,78.92,$5.29,14.92
2023-03-31,80.0,$3.70,21.62
2022-12-31,76.42,0,0.0
2022-09-30,55.39,$-0.93,0.0
2022-06-30,68.05,$-2.18,0.0
2022-03-31,103.61,$-1.36,0.0
2021-12-31,101.78,$0.00,0.0
2021-09-30,87.81,$1.67,52.64
2021-06-30,97.46,$-5.97,0.0
2021-03-31,95.13,$-6.47,0.0
2020-12-31,78.93,$-9.15,0.0
2020-09-30,57.6,$-25.52,0.0
2020-06-30,51.95,$-26.47,0.0
2020-03-31,50.52,$-13.73,0.0
2019-12-31,126.8,$-5.09,0.0
2019-09-30,129.6,$-1.24,0.0
2019-06-30,123.84,$0.56,221.34
2018-12-31,97.62,$-15.02,0.0
2018-09-30,124.22,$-15.81,0.0
2018-06-30,132.5,$-7.19,0.0
2018-03-31,139.13,$-3.38,0.0
2017-12-31,131.27,$-3.37,0.0
2017-09-30,117.93,$-7.32,0.0
2017-06-30,122.84,$-8.15,0.0
2017-03-31,117.25,$-13.93,0.0
2016-12-31,114.1,$-4.65,0.0
2016-09-30,114.5,$-6.00,0.0
2016-06-30,114.32,$-12.76,0.0
2016-03-31,105.89,$-2.02,0.0
2015-12-31,113.16,$-13.33,0.0
2015-09-30,114.74,$-21.17,0.0
2015-06-30,143.54,$-21.16,0.0
2015-03-31,155.02,$-27.69,0.0
2014-12-31,130.42,$-20.93,0.0
2014-09-30,150.0,$-10.07,0.0
2014-06-30,157.83,$0.45,351.51
2014-03-31,142.71,$2.70,52.78
2013-12-31,120.1,$2.47,48.56
2013-09-30,112.37,$-3.51,0.0
2013-06-30,112.09,$-0.82,0.0
2013-03-31,83.81,$-1.32,0.0
2019-03-31,110.0,$-1.24,0.0
2012-12-31,73.02,$3.98,18.34
2012-09-30,71.05,$3.78,18.79
2012-06-30,61.64,$2.48,24.89
2012-03-31,63.87,$2.10,30.48
2011-12-31,44.17,$2.20,20.06
2011-09-30,42.1,$-4.84,0.0
