Rithm Capital Price to Free Cash Flow Ratio Historical Data,Rithm Capital Price to Free Cash Flow Ratio Historical Data,Rithm Capital Price to Free Cash Flow Ratio Historical Data,Rithm Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.83,,0.0
2024-06-30,10.42,$-4.06,0.0
2024-03-31,10.66,$-4.20,0.0
2023-12-31,9.98,$1.21,8.22
2023-09-30,8.48,$1.09,7.81
2023-06-30,8.31,$2.89,2.88
2023-03-31,6.93,$6.12,1.13
2022-12-31,6.86,$11.08,0.62
2022-09-30,5.76,$20.39,0.28
2022-06-30,7.34,$18.19,0.4
2022-03-31,8.23,$13.23,0.62
2021-12-31,8.02,$4.37,1.84
2021-09-30,7.87,$-2.80,0.0
2021-06-30,7.44,$-5.35,0.0
2021-03-31,7.76,$-0.07,0.0
2020-12-31,6.86,$4.41,1.56
2020-09-30,5.28,$6.09,0.87
2020-06-30,4.87,$9.39,0.52
2020-03-31,3.25,$-0.04,0.0
2019-12-31,10.45,$-3.97,0.0
2019-09-30,9.54,$-9.15,0.0
2019-06-30,9.37,$-11.08,0.0
2019-03-31,9.68,$-6.11,0.0
2018-12-31,8.13,$-3.80,0.0
2018-09-30,9.86,$-1.18,0.0
2018-06-30,9.41,$-1.27,0.0
2018-03-31,8.61,$-0.10,0.0
2017-12-31,9.08,$-2.96,0.0
2017-09-30,8.27,$-1.75,0.0
2017-06-30,7.46,$-0.24,0.0
2017-03-31,7.9,$0.30,26.5
2016-12-31,7.11,$2.35,3.02
2016-09-30,6.06,$2.05,2.96
2016-06-30,5.68,$0.47,12.11
2016-03-31,4.77,$2.36,2.03
2015-12-31,4.8,$1.51,3.18
2015-09-30,4.81,$3.20,1.5
2015-06-30,5.59,$1.07,5.21
2015-03-31,5.37,$-1.36,0.0
2014-12-31,4.45,$-1.23,0.0
2014-09-30,3.95,$-2.45,0.0
2014-06-30,4.15,$1.29,3.2
2014-03-31,4.09,$1.24,3.31
