WESCO Price to Free Cash Flow Ratio Historical Data,WESCO Price to Free Cash Flow Ratio Historical Data,WESCO Price to Free Cash Flow Ratio Historical Data,WESCO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,181.56,,10.81
2024-06-30,158.11,$16.79,9.42
2024-03-31,170.42,$26.79,6.36
2023-12-31,172.56,$7.68,22.48
2023-09-30,142.43,$14.19,10.04
2023-06-30,176.9,$5.10,34.71
2023-03-31,152.32,$-3.23,0.0
2022-12-31,123.11,$-1.68,0.0
2022-09-30,117.39,$-11.46,0.0
2022-06-30,105.31,$-7.69,0.0
2022-03-31,127.97,$-5.38,0.0
2021-12-31,129.39,$0.34,382.25
2021-09-30,113.39,$5.97,18.98
2021-06-30,101.1,$9.72,10.41
2021-03-31,85.08,$12.35,6.89
2020-12-31,77.19,$10.59,7.29
2020-09-30,43.28,$9.95,4.35
2020-06-30,34.52,$7.69,4.49
2020-03-31,22.47,$4.51,4.98
2019-12-31,58.4,$4.53,12.88
2019-09-30,46.97,$4.65,10.11
2019-06-30,49.8,$3.61,13.78
2019-03-31,52.12,$5.23,9.97
2018-12-31,47.2,$5.78,8.16
2018-09-30,60.42,$4.59,13.16
2018-06-30,56.15,$3.09,18.16
2018-03-31,61.01,$2.86,21.35
2017-12-31,67.01,$2.78,24.12
2017-09-30,57.28,$2.67,21.43
2017-06-30,56.34,$4.48,12.59
2017-03-31,68.39,$5.29,12.94
2016-12-31,65.44,$6.01,10.88
2016-09-30,60.46,$6.74,8.97
2016-06-30,50.63,$5.64,8.97
2016-03-31,53.76,$5.22,10.3
2015-12-31,42.95,$5.25,8.18
2015-09-30,45.69,$5.50,8.31
2015-06-30,67.49,$6.19,10.9
2015-03-31,68.72,$5.46,12.59
2014-12-31,74.94,$4.61,16.25
2014-09-30,76.95,$4.96,15.52
2014-06-30,84.94,$4.33,19.61
2014-03-31,81.83,$5.02,16.29
2013-12-31,89.55,$5.66,15.81
2013-09-30,75.25,$4.89,15.39
2013-06-30,66.82,$5.26,12.7
2013-03-31,71.4,$5.59,12.78
2012-12-31,66.3,$5.21,12.71
2012-09-30,56.24,$5.07,11.09
2012-06-30,56.59,$4.59,12.34
2012-03-31,64.22,$3.23,19.85
2011-12-31,52.12,$2.71,19.26
2011-09-30,32.99,$1.99,16.62
2011-06-30,53.19,$1.22,43.62
2011-03-31,61.46,$1.45,42.35
2010-12-31,51.92,$2.45,21.17
2010-09-30,38.63,$1.43,27.0
2010-06-30,33.11,$3.25,10.17
2010-03-31,34.13,$4.96,6.88
2009-12-31,26.56,$6.53,4.06
