CACI Price to Free Cash Flow Ratio Historical Data,CACI Price to Free Cash Flow Ratio Historical Data,CACI Price to Free Cash Flow Ratio Historical Data,CACI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,529.64,,27.57
2024-06-30,430.13,$19.21,22.39
2024-03-31,378.83,$18.77,20.18
2023-12-31,323.86,$11.21,28.89
2023-09-30,313.93,$10.73,29.27
2023-06-30,340.84,$13.85,24.6
2023-03-31,296.28,$13.25,22.36
2022-12-31,300.59,$23.83,12.61
2022-09-30,261.06,$26.55,9.83
2022-06-30,281.78,$28.34,9.94
2022-03-31,301.26,$40.51,7.44
2021-12-31,269.21,$19.17,14.04
2021-09-30,262.1,$21.84,12.0
2021-06-30,255.12,$20.77,12.28
2021-03-31,246.66,$9.33,26.43
2020-12-31,249.33,$23.58,10.57
2020-09-30,213.16,$20.66,10.32
2020-06-30,216.88,$17.52,12.38
2020-03-31,211.15,$15.19,13.9
2019-12-31,249.99,$22.88,10.93
2019-09-30,231.26,$20.24,11.43
2019-06-30,204.59,$19.98,10.24
2019-03-31,182.02,$19.10,9.53
2018-12-31,144.03,$10.73,13.43
2018-09-30,184.15,$11.12,16.56
2018-06-30,168.55,$11.08,15.21
2018-03-31,151.35,$10.94,13.83
2017-12-31,132.35,$10.12,13.07
2017-09-30,139.35,$10.49,13.29
2017-06-30,125.05,$9.49,13.17
2017-03-31,117.3,$9.07,12.93
2016-12-31,124.3,$8.30,14.97
2016-09-30,100.9,$2.22,45.44
2016-06-30,90.41,$1.71,52.79
2016-03-31,106.7,$3.57,29.91
2015-12-31,92.78,$0.67,138.87
2015-06-30,80.89,$8.59,9.42
2015-03-31,89.92,$11.68,7.7
2014-12-31,86.18,$11.02,7.82
2014-09-30,71.27,$15.68,4.54
2014-06-30,70.21,$11.69,6.01
2015-09-30,73.97,$8.21,9.01
2014-03-31,73.8,$9.27,7.96
2013-12-31,73.22,$7.62,9.61
2013-09-30,69.11,$9.84,7.03
2013-06-30,63.49,$9.79,6.48
2013-03-31,57.87,$3.39,17.07
2012-12-31,55.03,$3.17,17.36
2012-09-30,51.79,$1.54,33.62
2012-06-30,55.02,$2.38,23.08
2012-03-31,62.29,$7.27,8.57
2011-12-31,55.92,$7.76,7.2
2011-09-30,49.94,$8.56,5.83
2011-06-30,63.08,$6.93,9.11
2011-03-31,61.32,$7.11,8.63
2010-12-31,53.4,$6.45,8.28
2010-09-30,45.26,$4.87,9.3
2010-06-30,42.48,$6.09,6.97
2010-03-31,48.85,$5.09,9.59
2009-12-31,48.85,$6.22,7.85
