Tenet Healthcare Price to Free Cash Flow Ratio Historical Data,Tenet Healthcare Price to Free Cash Flow Ratio Historical Data,Tenet Healthcare Price to Free Cash Flow Ratio Historical Data,Tenet Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,161.71,,8.68
2024-06-30,133.03,$18.63,7.14
2024-03-31,105.11,$16.91,6.22
2023-12-31,75.57,$15.49,4.88
2023-09-30,65.89,$10.82,6.09
2023-06-30,81.38,$9.03,9.02
2023-03-31,59.42,$4.27,13.91
2022-12-31,48.79,$2.90,16.8
2022-09-30,51.58,$2.23,23.12
2022-06-30,52.56,$3.81,13.79
2022-03-31,85.96,$5.21,16.49
2021-12-31,81.69,$8.38,9.75
2021-09-30,66.44,$10.28,6.46
2021-06-30,66.99,$12.22,5.48
2021-03-31,52.0,$31.30,1.66
2020-12-31,39.93,$26.98,1.48
2020-09-30,24.51,$27.89,0.88
2020-06-30,18.11,$25.55,0.71
2020-03-31,14.4,$6.71,2.14
2019-12-31,38.03,$5.45,6.98
2019-09-30,22.12,$2.44,9.08
2019-06-30,20.66,$1.90,10.85
2019-03-31,28.84,$-1.46,0.0
2018-12-31,17.14,$4.16,4.12
2018-09-30,28.46,$6.61,4.31
2018-06-30,33.57,$6.23,5.39
2018-03-31,24.25,$8.87,2.73
2017-12-31,15.16,$4.90,3.09
2017-09-30,16.43,$-3.42,0.0
2017-06-30,19.34,$-4.37,0.0
2017-03-31,17.71,$-2.69,0.0
2016-12-31,14.84,$-3.19,0.0
2016-09-30,22.66,$1.53,14.77
2016-06-30,27.64,$3.62,7.64
2016-03-31,28.93,$3.63,7.98
2015-12-31,30.3,$1.86,16.33
2015-09-30,36.92,$2.89,12.8
2015-06-30,57.88,$0.31,185.45
2015-03-31,49.51,$-1.75,0.0
2014-12-31,50.67,$-2.45,0.0
2014-09-30,59.39,$-3.02,0.0
2014-06-30,46.94,$-2.59,0.0
2014-03-31,42.81,$-2.51,0.0
2013-12-31,42.12,$-1.00,0.0
2013-09-30,41.19,$0.37,110.19
2013-06-30,46.1,$0.01,3136.05
2013-03-31,47.58,$0.66,71.69
2012-12-31,32.47,$0.78,41.61
2012-09-30,25.08,$-0.25,0.0
2012-06-30,20.96,$-0.12,0.0
2012-03-31,21.24,$-0.45,0.0
2011-12-31,20.52,$0.18,113.12
2011-09-30,16.44,$0.07,252.92
2011-06-30,24.96,$-0.27,0.0
2011-03-31,29.8,$-0.11,0.0
2010-12-31,26.76,$-0.03,0.0
2010-09-30,18.88,$-0.28,0.0
2010-06-30,17.36,$-0.10,0.0
2010-03-31,22.88,$-0.09,0.0
2009-12-31,21.56,$-0.24,0.0
