Repligen Price to Free Cash Flow Ratio Historical Data,Repligen Price to Free Cash Flow Ratio Historical Data,Repligen Price to Free Cash Flow Ratio Historical Data,Repligen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,142.14,,67.11
2024-06-30,126.06,$2.12,59.52
2024-03-31,183.92,$1.94,94.73
2023-12-31,179.8,$1.33,135.28
2023-09-30,159.01,$1.70,93.34
2023-06-30,141.46,$1.68,84.45
2023-03-31,168.36,$1.57,106.92
2022-12-31,169.31,$1.46,116.17
2022-09-30,187.11,$1.04,180.0
2022-06-30,162.4,$0.72,224.37
2022-03-31,188.09,$0.74,253.05
2021-12-31,264.84,$0.83,317.67
2021-09-30,288.99,$0.60,479.33
2021-06-30,199.62,$0.72,276.29
2021-03-31,194.41,$0.59,328.4
2020-12-31,191.63,$0.67,284.66
2020-09-30,147.54,$0.87,169.98
2020-06-30,123.61,$0.83,148.28
2020-03-31,96.54,$0.85,113.4
2019-12-31,92.5,$0.90,103.29
2019-09-30,76.69,$0.68,112.85
2019-06-30,85.95,$0.75,115.17
2019-03-31,59.08,$0.57,103.98
2018-12-31,52.74,$0.44,119.97
2018-09-30,55.46,$0.75,74.23
2018-06-30,47.04,$0.34,138.68
2018-03-31,36.18,$0.31,116.37
2017-12-31,36.28,$0.31,118.41
2017-09-30,38.32,$-0.00,0.0
2017-06-30,41.44,$-0.03,0.0
2017-03-31,35.2,$0.22,161.99
2016-12-31,30.82,$0.10,324.42
2016-09-30,30.19,$0.15,206.22
2016-06-30,27.36,$0.43,64.0
2016-03-31,26.82,$0.35,76.56
2015-12-31,28.29,$0.37,76.46
2015-09-30,27.85,$0.26,106.91
2015-06-30,41.27,$0.21,196.43
2015-03-31,30.36,$0.05,579.39
2014-12-31,19.8,$0.38,51.46
2014-09-30,19.91,$0.60,33.13
2014-06-30,22.79,$0.58,39.1
2014-03-31,12.86,$0.78,16.49
2013-12-31,13.64,$0.66,20.76
2013-09-30,11.09,$0.68,16.21
2013-06-30,8.24,$0.64,12.97
2013-03-31,6.91,$0.44,15.65
2012-12-31,6.28,$0.39,16.12
2012-09-30,5.96,$0.23,26.36
2012-06-30,4.3,$0.16,27.42
2012-03-31,5.9,$0.01,551.4
2011-12-31,3.47,0,0.0
2011-09-30,3.26,$-0.02,0.0
2011-06-30,3.64,$0.01,327.93
2011-03-31,3.74,$0.09,42.69
2010-12-31,4.69,$0.05,98.95
2010-09-30,3.38,$0.06,58.58
2010-06-30,3.21,$-0.03,0.0
2010-03-31,4.06,$-0.08,0.0
2009-12-31,4.11,$-0.08,0.0
