Algonquin Power & Utilities Price to Free Cash Flow Ratio Historical Data,Algonquin Power & Utilities Price to Free Cash Flow Ratio Historical Data,Algonquin Power & Utilities Price to Free Cash Flow Ratio Historical Data,Algonquin Power & Utilities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.12,,0.0
2024-06-30,5.79,$-0.47,0.0
2024-03-31,6.13,$-0.50,0.0
2023-12-31,6.03,$-0.58,0.0
2023-09-30,5.55,$-0.35,0.0
2023-06-30,7.61,$-0.46,0.0
2023-03-31,7.64,$-0.65,0.0
2022-12-31,5.86,$-0.69,0.0
2022-09-30,9.54,$-0.97,0.0
2022-06-30,11.56,$-0.94,0.0
2022-03-31,13.19,$-1.24,0.0
2021-12-31,12.14,$-1.89,0.0
2021-09-30,12.17,$-1.81,0.0
2021-06-30,12.22,$-1.60,0.0
2021-03-31,12.86,$-1.22,0.0
2020-12-31,13.23,$-0.50,0.0
2020-09-30,11.58,$-0.35,0.0
2020-06-30,10.19,$-0.27,0.0
2020-03-31,10.43,$-0.14,0.0
2019-12-31,10.89,$0.06,183.68
2019-09-30,10.44,$0.18,58.72
2019-06-30,9.13,$0.25,37.09
2019-03-31,8.4,$0.31,27.43
2018-12-31,7.41,$0.14,51.63
2018-09-30,7.54,$-0.00,0.0
2018-06-30,6.95,$-0.15,0.0
2018-03-31,7.04,$-0.46,0.0
2017-12-31,7.82,$-0.62,0.0
2017-09-30,7.33,$-0.89,0.0
