EPR Properties Price to Free Cash Flow Ratio Historical Data,EPR Properties Price to Free Cash Flow Ratio Historical Data,EPR Properties Price to Free Cash Flow Ratio Historical Data,EPR Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.76,,57.44
2024-06-30,41.23,$0.85,48.57
2023-12-31,46.03,$4.65,9.89
2023-09-30,38.75,$4.92,7.87
2023-06-30,42.83,$4.08,10.49
2023-03-31,34.21,$2.19,15.64
2022-12-31,33.18,$2.70,12.3
2022-09-30,30.89,$3.16,9.77
2022-06-30,39.65,$3.21,12.35
2022-03-31,45.48,$2.79,16.29
2021-12-31,38.86,$4.29,9.05
2021-09-30,39.8,$2.66,14.94
2021-06-30,41.83,$0.61,68.62
2020-12-31,25.81,$2.81,9.17
2020-09-30,21.84,$-0.29,0.0
2020-06-30,26.31,$0.37,71.33
2020-03-31,19.0,$1.02,18.58
2019-12-31,53.96,$-2.79,0.0
2021-03-31,37.0,$-2.48,0.0
2019-09-30,57.82,$-3.61,0.0
2019-06-30,55.29,$0.47,116.55
2019-03-31,56.17,$3.47,16.2
2018-12-31,46.07,$1.52,30.3
2018-09-30,48.45,$1.99,24.4
2017-12-31,43.98,$-2.70,0.0
2017-09-30,46.16,$-3.99,0.0
2017-06-30,46.88,$-3.20,0.0
2017-03-31,47.36,$-5.11,0.0
2016-12-31,45.54,$-4.79,0.0
2016-09-30,49.28,$-4.17,0.0
2016-06-30,49.9,$-4.66,0.0
2016-03-31,40.65,$-6.57,0.0
2015-12-31,35.12,$-4.21,0.0
2015-09-30,30.5,$-3.95,0.0
2015-06-30,31.86,$-2.65,0.0
2018-06-30,45.16,$0.18,251.02
2015-03-31,34.37,$-2.80,0.0
2014-12-31,32.51,$-2.89,0.0
2014-09-30,28.16,$-4.13,0.0
2014-06-30,30.56,$-3.71,0.0
2014-03-31,28.75,$-2.47,0.0
2013-12-31,26.04,$-1.78,0.0
2013-09-30,25.42,$-0.13,0.0
2013-06-30,25.81,$0.50,51.82
2013-03-31,26.33,$0.81,32.45
2012-12-31,22.97,$0.44,52.31
2012-09-30,21.78,$1.12,19.4
2012-06-30,19.82,$1.48,13.42
2012-03-31,21.95,$1.87,11.71
2011-12-31,20.36,$1.81,11.26
2011-09-30,17.87,$2.07,8.62
2011-06-30,21.03,$2.90,7.26
2011-03-31,20.77,$-0.09,0.0
2010-12-31,20.21,$0.97,20.73
2010-09-30,18.6,$0.64,29.06
2010-06-30,16.16,$-3.19,0.0
2024-03-31,41.12,$-0.26,0.0
2010-03-31,17.17,$-0.26,0.0
2009-12-31,14.5,$-0.16,0.0
2009-09-30,13.78,$2.79,4.94
