Darling Ingredients Price to Free Cash Flow Ratio Historical Data,Darling Ingredients Price to Free Cash Flow Ratio Historical Data,Darling Ingredients Price to Free Cash Flow Ratio Historical Data,Darling Ingredients Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.21,,14.92
2024-06-30,36.75,$2.49,14.73
2024-03-31,46.51,$2.77,16.79
2023-12-31,49.84,$2.18,22.83
2023-09-30,52.2,$2.16,24.22
2023-06-30,63.79,$2.44,26.11
2023-03-31,58.4,$2.64,22.11
2022-12-31,62.59,$2.66,23.57
2022-09-30,66.15,$3.41,19.42
2022-06-30,59.8,$2.84,21.02
2022-03-31,80.38,$2.62,30.64
2021-12-31,69.29,$2.60,26.62
2021-09-30,71.9,$1.94,36.99
2021-06-30,67.5,$2.27,29.76
2021-03-31,73.58,$2.71,27.14
2020-12-31,57.68,$2.08,27.77
2020-09-30,36.03,$1.65,21.86
2020-06-30,24.62,$1.00,24.58
2020-03-31,19.17,$0.13,144.35
2019-12-31,28.08,$0.13,221.45
2019-09-30,19.13,$0.83,22.97
2019-06-30,19.89,$0.60,32.96
2019-03-31,21.65,$0.58,37.64
2018-12-31,19.24,$0.57,33.64
2018-09-30,19.32,$0.34,57.02
2018-06-30,19.88,$0.37,53.35
2018-03-31,17.3,$0.50,34.89
2017-12-31,18.13,$0.87,20.94
2017-09-30,17.52,$0.69,25.28
2017-06-30,15.74,$1.01,15.64
2017-03-31,14.52,$1.18,12.29
2016-12-31,12.91,$0.94,13.78
2016-09-30,13.51,$1.06,12.76
2016-06-30,14.9,$1.00,14.84
2016-03-31,13.17,$1.08,12.14
2015-12-31,10.52,$1.18,8.91
2015-09-30,11.24,$0.99,11.3
2015-06-30,14.66,$1.25,11.75
2015-03-31,14.01,$0.88,15.92
2014-12-31,18.16,$0.34,54.0
2014-09-30,18.32,$0.25,74.38
2014-06-30,20.9,$-0.21,0.0
2014-03-31,20.02,$0.02,1163.95
2013-12-31,20.88,$0.79,26.42
2013-09-30,21.16,$0.91,23.34
2013-06-30,18.66,$1.04,17.99
2013-03-31,17.96,$1.19,15.12
2012-12-31,16.04,$1.17,13.73
2012-09-30,18.29,$1.44,12.71
2012-06-30,16.49,$1.57,10.49
2012-03-31,17.42,$1.22,14.32
2011-12-31,13.29,$1.58,8.42
2011-09-30,12.59,$1.41,8.91
2011-06-30,17.7,$1.26,14.09
2011-03-31,15.37,$1.19,12.91
2010-12-31,13.28,$0.69,19.25
2010-09-30,8.52,$0.64,13.37
2010-06-30,7.51,$0.64,11.77
2010-03-31,8.96,$0.80,11.14
2009-12-31,8.38,$0.70,12.03
