Carlyle Group Price to Free Cash Flow Ratio Historical Data,Carlyle Group Price to Free Cash Flow Ratio Historical Data,Carlyle Group Price to Free Cash Flow Ratio Historical Data,Carlyle Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.34,,0.0
2024-06-30,40.15,$-0.53,0.0
2024-03-31,46.91,$0.88,53.31
2023-12-31,40.69,$0.38,106.32
2023-09-30,30.16,$-0.65,0.0
2023-06-30,31.95,$-2.02,0.0
2023-03-31,31.06,$-0.43,0.0
2022-12-31,29.84,$-1.15,0.0
2022-09-30,25.84,$0.56,46.48
2022-06-30,31.37,$1.66,18.92
2022-03-31,48.02,$3.60,13.33
2021-12-31,53.62,$4.83,11.11
2021-09-30,45.98,$3.27,14.08
2021-06-30,44.97,$1.23,36.44
2021-03-31,35.36,$0.27,132.45
2020-12-31,30.04,$-0.64,0.0
2020-09-30,23.36,$-4.97,0.0
2020-06-30,26.18,$0.39,67.6
2020-03-31,20.11,$-0.93,0.0
2019-12-31,29.57,$2.70,10.96
2019-09-30,23.3,$3.74,6.23
2019-06-30,20.22,$3.61,5.59
2019-03-31,16.2,$-0.01,0.0
2018-12-31,13.64,$-4.94,0.0
2018-09-30,19.13,$-3.46,0.0
2018-06-30,17.9,$-10.45,0.0
2017-12-31,18.74,$-0.41,0.0
2017-09-30,18.82,$0.82,22.93
2017-06-30,15.44,$2.62,5.9
2017-03-31,12.4,$9.55,1.3
2016-12-31,11.74,$-0.74,0.0
2018-03-31,17.72,$0.12,147.55
2016-09-30,11.59,$-1.35,0.0
2016-06-30,11.63,$-2.44,0.0
2016-03-31,11.9,$-7.24,0.0
2015-12-31,10.8,$12.86,0.84
2015-09-30,11.26,$18.08,0.62
2015-06-30,18.19,$19.54,0.93
2015-03-31,17.32,$41.77,0.41
2014-12-31,16.58,$38.21,0.43
2014-09-30,18.27,$-4.35,0.0
2014-06-30,20.26,$9.72,2.08
2014-03-31,20.86,$-1.12,0.0
2013-12-31,20.35,$10.66,1.91
2013-09-30,14.62,$14.22,1.03
2013-06-30,14.48,$15.75,0.92
2013-03-31,17.0,$36.04,0.47
