Janus Henderson Group Price to Free Cash Flow Ratio Historical Data,Janus Henderson Group Price to Free Cash Flow Ratio Historical Data,Janus Henderson Group Price to Free Cash Flow Ratio Historical Data,Janus Henderson Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.67,,10.96
2024-06-30,33.33,$3.71,8.98
2024-03-31,32.14,$3.33,9.66
2023-12-31,29.08,$2.68,10.84
2023-09-30,24.52,$2.53,9.69
2023-06-30,25.5,$2.56,9.95
2023-03-31,24.56,$2.49,9.85
2022-12-31,21.39,$2.81,7.6
2022-09-30,18.14,$3.60,5.04
2022-06-30,20.67,$4.11,5.03
2022-03-31,30.36,$4.74,6.4
2021-12-31,35.96,$5.25,6.85
2021-09-30,35.15,$4.83,7.28
2021-06-30,32.71,$3.97,8.23
2021-03-31,25.99,$3.47,7.49
2020-12-31,26.81,$3.49,7.68
2020-09-30,17.66,$3.31,5.34
2020-06-30,16.92,$3.16,5.35
2020-03-31,12.0,$2.64,4.55
2019-12-31,18.89,$2.26,8.37
2019-09-30,17.1,$2.42,7.06
2019-06-30,15.99,$2.77,5.77
2019-03-31,18.36,$0.43,42.77
2018-12-31,15.0,$2.22,6.75
2018-09-30,18.93,$1.72,10.99
2018-06-30,21.3,$0.58,36.58
2017-12-31,26.0,$2.63,9.9
