Aspen Technology Price to Free Cash Flow Ratio Historical Data,Aspen Technology Price to Free Cash Flow Ratio Historical Data,Aspen Technology Price to Free Cash Flow Ratio Historical Data,Aspen Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,236.92,,45.02
2024-06-30,198.63,$5.26,37.75
2024-03-31,213.28,$4.59,46.48
2023-12-31,220.15,$4.44,49.62
2023-09-30,204.26,$4.52,45.18
2023-06-30,167.61,$4.52,37.06
2023-03-31,228.87,$2.98,76.74
2022-12-31,205.4,$2.19,93.75
2022-09-30,238.2,$-0.64,0.0
2022-06-30,183.68,$-1.86,0.0
2022-03-31,165.37,$-0.62,0.0
2021-12-31,152.2,$-1.27,0.0
2021-06-30,137.54,$1.34,102.72
2021-03-31,144.33,$3.94,36.66
2020-12-31,130.25,$3.70,35.24
2020-09-30,126.59,$3.83,33.08
2020-06-30,103.61,$3.52,29.44
2020-03-31,95.07,$3.26,29.17
2019-12-31,120.93,$3.35,36.08
2019-09-30,123.08,$3.48,35.36
2019-06-30,124.28,$3.34,37.16
2019-03-31,104.26,$3.24,32.18
2018-12-31,82.18,$2.97,27.7
2018-09-30,113.91,$2.74,41.62
2018-06-30,92.74,$2.83,32.8
2018-03-31,78.89,$2.68,29.44
2017-12-31,66.2,$2.40,27.59
2017-09-30,62.81,$2.18,28.87
2017-06-30,55.26,$2.33,23.73
2017-03-31,58.92,$1.93,30.59
2016-12-31,54.68,$2.03,27.0
2016-09-30,46.79,$1.91,24.45
2016-06-30,40.24,$1.80,22.35
2016-03-31,36.13,$1.84,19.66
2015-12-31,37.76,$1.75,21.61
2015-09-30,37.91,$1.87,20.27
2015-06-30,45.55,$2.07,22.04
2015-03-31,38.49,$2.11,18.28
2014-12-31,35.02,$2.59,13.52
2014-09-30,37.72,$2.49,15.16
2014-06-30,46.4,$2.42,19.17
2014-03-31,42.36,$2.43,17.46
2013-09-30,34.55,$1.56,22.08
2013-06-30,28.79,$1.48,19.49
2013-03-31,32.29,$1.34,24.12
2012-12-31,27.64,$1.32,20.93
2012-09-30,25.84,$1.19,21.72
2012-06-30,23.15,$1.07,21.74
2012-03-31,20.53,$0.96,21.43
2011-12-31,17.35,$0.69,25.25
2011-09-30,15.27,$-0.09,0.0
2011-06-30,17.18,$0.22,76.76
2011-03-31,14.99,$0.29,52.23
2010-12-31,12.7,$0.17,73.54
2013-12-31,41.8,$0.82,51.13
2010-06-30,10.89,$0.39,28.18
2010-03-31,10.25,$0.47,21.7
2009-12-31,9.8,$0.33,29.73
2009-09-30,10.2,$0.50,20.37
2009-06-30,8.53,$0.57,14.92
