Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data,Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data,Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data,Sensata Technologies Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.13,,17.81
2024-06-30,37.27,$2.03,18.37
2024-03-31,36.51,$1.82,20.02
2023-12-31,37.2,$1.79,20.8
2023-09-30,37.45,$2.60,14.42
2023-06-30,44.42,$2.40,18.53
2023-03-31,49.24,$2.31,21.32
2022-12-31,39.67,$1.99,19.92
2022-09-30,36.52,$1.54,23.66
2022-06-30,40.37,$1.72,23.46
2022-03-31,49.57,$2.16,22.96
2021-12-31,60.14,$2.57,23.39
2021-09-30,53.34,$3.35,15.92
2021-06-30,56.51,$3.42,16.5
2021-03-31,56.49,$2.92,19.38
2020-12-31,51.41,$2.87,17.95
2020-09-30,42.05,$2.26,18.64
2020-06-30,36.29,$2.50,14.51
2020-03-31,28.2,$2.83,9.95
2019-12-31,52.51,$2.83,18.56
2019-09-30,48.8,$2.80,17.4
2019-06-30,47.77,$2.68,17.85
2019-03-31,43.89,$2.61,16.81
2018-12-31,43.71,$2.71,16.11
2018-09-30,48.3,$2.62,18.44
2018-06-30,46.38,$2.47,18.74
2018-03-31,50.53,$2.41,20.95
2017-12-31,49.82,$2.40,20.77
2017-09-30,46.86,$2.13,22.0
2017-06-30,41.65,$2.23,18.71
2017-03-31,42.57,$2.21,19.28
2016-12-31,37.97,$2.28,16.64
2016-09-30,37.8,$2.51,15.08
2016-06-30,34.01,$2.44,13.94
2016-03-31,37.86,$2.32,16.34
2015-12-31,44.9,$2.10,21.35
2015-09-30,43.22,$1.70,25.48
2015-06-30,51.41,$1.25,41.26
2015-03-31,56.0,$1.35,41.54
2014-12-31,51.09,$1.42,36.09
2014-09-30,43.41,$1.42,30.59
2014-06-30,45.6,$1.84,24.81
2014-03-31,41.57,$1.82,22.87
2013-12-31,37.79,$1.76,21.5
2013-09-30,37.31,$1.94,19.22
2013-06-30,34.02,$1.82,18.69
2013-03-31,32.04,$1.76,18.23
2012-12-31,31.66,$1.92,16.52
2012-09-30,29.02,$1.72,16.92
2012-06-30,26.11,$1.65,15.86
2012-03-31,32.64,$1.40,23.38
2011-12-31,25.62,$1.20,21.43
2011-09-30,25.79,$1.33,19.38
2011-06-30,36.7,$1.50,24.54
2011-03-31,33.86,$1.59,21.34
2010-12-31,29.35,$1.43,20.51
