Planet Fitness Price to Free Cash Flow Ratio Historical Data,Planet Fitness Price to Free Cash Flow Ratio Historical Data,Planet Fitness Price to Free Cash Flow Ratio Historical Data,Planet Fitness Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,78.75,,36.6
2024-06-30,73.59,$2.15,34.2
2024-03-31,62.63,$2.13,29.47
2023-12-31,73.0,$2.28,31.99
2023-09-30,49.18,$2.32,21.17
2023-06-30,67.44,$2.17,31.06
2023-03-31,77.67,$2.14,36.32
2022-12-31,78.8,$1.66,47.52
2022-09-30,57.66,$1.69,34.09
2022-06-30,68.01,$1.77,38.5
2022-03-31,84.48,$1.81,46.66
2021-12-31,90.58,$1.61,56.18
2021-09-30,78.55,$1.62,48.47
2021-06-30,75.25,$0.82,92.21
2021-03-31,77.3,$-0.86,0.0
2020-12-31,77.63,$-0.26,0.0
2020-09-30,61.62,$-0.11,0.0
2020-06-30,60.57,$0.58,104.9
2020-03-31,48.7,$1.96,24.86
2019-12-31,74.68,$1.75,42.62
2019-09-30,57.87,$1.60,36.14
2019-06-30,72.44,$1.59,45.58
2019-03-31,68.72,$1.71,40.16
2018-12-31,53.62,$1.64,32.71
2018-09-30,54.03,$1.79,30.14
2018-06-30,43.94,$1.37,32.0
2018-03-31,37.77,$1.32,28.52
2017-12-31,34.63,$1.19,29.1
2017-09-30,26.98,$1.49,18.07
2017-06-30,23.34,$1.55,15.09
2017-03-31,19.27,$2.17,8.87
2016-12-31,20.1,$2.17,9.25
2016-09-30,17.62,$2.79,6.32
2016-06-30,16.58,$2.97,5.58
