American Eagle Outfitters Price to Free Cash Flow Ratio Historical Data,American Eagle Outfitters Price to Free Cash Flow Ratio Historical Data,American Eagle Outfitters Price to Free Cash Flow Ratio Historical Data,American Eagle Outfitters Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.5,,0.0
2024-07-31,21.92,$-0.01,0.0
2024-01-31,19.48,$2.06,9.44
2023-10-31,17.07,$1.83,9.31
2023-07-31,13.65,$1.00,13.7
2023-04-30,12.9,$0.27,47.87
2023-01-31,15.43,$0.01,0.0
2024-04-30,23.97,$-1.83,0.0
2022-10-31,10.86,$-1.07,0.0
2022-07-31,11.51,$-1.13,0.0
2022-04-30,14.23,$-0.24,0.0
2022-01-31,21.29,$0.34,62.97
2021-10-31,21.99,$0.95,23.05
2021-07-31,31.7,$1.21,26.27
2021-04-30,31.63,$1.73,18.25
2021-01-31,20.66,$0.45,46.16
2020-10-31,12.4,$0.47,26.18
2020-07-31,9.04,$0.46,19.59
2020-04-30,7.19,$-0.10,0.0
2020-01-31,13.02,$1.20,10.85
2019-10-31,13.78,$1.39,9.94
2019-07-31,15.7,$1.76,8.92
2019-04-30,20.93,$1.34,15.65
2019-01-31,18.47,$2.46,7.52
2018-07-31,21.71,$1.72,12.62
2018-04-30,17.73,$1.30,13.59
2018-01-31,15.33,$1.25,12.28
2017-10-31,11.01,$0.89,12.35
2017-07-31,9.92,$0.70,14.15
2017-04-30,11.69,$0.92,12.72
2017-01-31,12.41,$1.11,11.18
2016-10-31,13.89,$0.93,14.96
2016-07-31,14.51,$0.92,15.76
2016-04-30,11.5,$1.16,9.89
2016-01-31,11.67,$1.25,9.33
2018-10-31,20.01,$0.56,35.78
2015-10-31,12.08,$1.14,10.59
2015-07-31,13.93,$0.92,15.16
2015-04-30,12.39,$0.59,20.9
2015-01-31,10.86,$0.48,22.68
2014-10-31,9.86,$0.10,96.78
2014-07-31,8.1,$-0.17,0.0
2014-04-30,8.69,$-2.77,0.0
2014-01-31,10.06,$-1.05,0.0
2013-10-31,11.42,$-0.84,0.0
2013-07-31,14.23,$-0.76,0.0
2013-01-31,14.54,$2.02,7.19
2012-10-31,14.86,$2.19,6.79
2012-07-31,13.79,$1.59,8.69
2012-04-30,11.86,$1.32,8.96
2012-01-31,9.22,$0.96,9.59
2011-10-31,8.52,$0.71,12.02
2011-07-31,8.45,$1.11,7.58
2011-04-30,9.92,$1.49,6.67
2011-01-31,9.15,$1.66,5.52
2010-10-31,9.76,$1.43,6.8
2010-07-31,7.44,$1.13,6.58
2010-04-30,10.07,$1.32,7.62
2010-01-31,9.47,$1.30,7.26
2009-10-31,10.36,$1.20,8.64
2009-07-31,8.47,$0.58,14.7
