Owens Corning Inc Price to Free Cash Flow Ratio Historical Data,Owens Corning Inc Price to Free Cash Flow Ratio Historical Data,Owens Corning Inc Price to Free Cash Flow Ratio Historical Data,Owens Corning Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,187.42,,12.39
2024-06-30,173.12,$15.12,11.45
2024-03-31,166.23,$15.30,10.86
2023-12-31,146.54,$15.24,9.61
2023-09-30,134.31,$15.56,8.63
2023-06-30,127.99,$13.78,9.29
2023-03-31,93.96,$13.56,6.93
2022-12-31,82.72,$15.62,5.3
2022-09-30,75.91,$10.78,7.04
2022-06-30,71.44,$7.63,9.36
2022-03-31,87.97,$6.73,13.07
2021-12-31,86.35,$10.11,8.54
2021-09-30,81.35,$10.76,7.56
2020-12-31,71.41,$8.10,8.81
2020-09-30,64.65,$5.72,11.29
2020-06-30,52.17,$4.15,12.57
2020-03-31,36.31,$3.67,9.9
2019-12-31,60.43,$7.82,7.73
2021-06-30,92.89,$4.99,18.63
2019-09-30,58.44,$4.37,13.36
2019-06-30,53.61,$3.19,16.8
2019-03-31,43.4,$1.94,22.4
2018-12-31,40.12,$2.63,15.25
2018-09-30,49.3,$2.88,17.12
2018-06-30,57.38,$4.18,13.73
2018-03-31,72.8,$3.32,21.91
2017-12-31,83.04,$6.02,13.78
2017-09-30,69.53,$3.45,20.17
2017-06-30,59.97,$2.95,20.32
2021-03-31,87.37,$4.35,20.09
2017-03-31,55.0,$4.71,11.67
2016-12-31,46.05,$4.94,9.32
2016-09-30,47.34,$5.33,8.88
2016-06-30,45.53,$4.90,9.29
2016-03-31,41.78,$4.55,9.18
2015-12-31,41.4,$3.12,13.26
2015-09-30,36.61,$3.21,11.42
2015-06-30,35.9,$2.15,16.72
2015-03-31,37.77,$2.23,16.97
2014-12-31,31.03,$1.21,25.67
2014-09-30,27.24,$0.05,514.99
2014-06-30,33.05,$0.25,134.5
2014-03-31,36.88,$-2.44,0.0
2013-12-31,34.66,$1.70,20.4
2013-09-30,32.33,$1.41,22.91
2013-06-30,33.27,$0.99,33.52
2012-12-31,31.49,$0.30,104.44
2012-09-30,28.48,$0.20,145.62
2012-06-30,24.29,$-2.20,0.0
2012-03-31,30.67,$-1.92,0.0
2011-12-31,24.45,$0.42,58.5
2013-03-31,33.56,$-3.20,0.0
2011-09-30,18.46,$-0.22,0.0
2011-06-30,31.79,$-0.47,0.0
2011-03-31,30.64,$0.22,136.71
2010-12-31,26.52,$1.89,14.05
2010-09-30,21.82,$2.19,9.96
2010-06-30,25.46,$4.23,6.01
2010-03-31,21.66,$4.60,4.71
2009-12-31,21.83,$2.65,8.23
