Silgan Holdings Price to Free Cash Flow Ratio Historical Data,Silgan Holdings Price to Free Cash Flow Ratio Historical Data,Silgan Holdings Price to Free Cash Flow Ratio Historical Data,Silgan Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.72,,11.22
2024-06-30,42.17,$4.61,9.15
2024-03-31,48.38,$2.83,17.08
2023-12-31,44.89,$2.34,19.17
2023-09-30,42.58,$0.25,171.57
2023-06-30,46.13,$0.61,76.13
2023-03-31,52.59,$1.50,35.04
2022-12-31,50.62,$4.80,10.55
2022-09-30,40.93,$2.00,20.46
2022-06-30,40.12,$1.69,23.76
2022-03-31,44.69,$-3.49,0.0
2021-12-31,41.26,$3.34,12.36
2021-09-30,36.82,$-0.08,0.0
2021-06-30,39.71,$-0.90,0.0
2020-12-31,35.25,$3.40,10.38
2020-09-30,34.83,$4.23,8.23
2020-06-30,30.58,$0.95,32.2
2020-03-31,27.3,$1.07,25.59
2019-12-31,29.11,$2.91,10.0
2021-03-31,40.08,$-3.69,0.0
2019-09-30,28.03,$2.40,11.69
2019-06-30,28.45,$2.28,12.49
2019-03-31,27.45,$2.13,12.91
2018-12-31,21.8,$2.83,7.71
2018-09-30,25.55,$2.00,12.78
2018-06-30,24.57,$2.26,10.87
2018-03-31,25.41,$2.30,11.04
2017-12-31,26.73,$1.93,13.82
2017-09-30,26.68,$1.87,14.28
2017-06-30,28.72,$1.96,14.66
2017-03-31,26.75,$1.81,14.74
2016-12-31,22.99,$1.68,13.67
2016-09-30,22.65,$1.10,20.57
2016-06-30,22.96,$0.48,48.15
2016-03-31,23.65,$0.58,40.79
2015-12-31,23.81,$0.80,29.65
2015-09-30,23.0,$1.14,20.11
2015-06-30,23.25,$1.45,16.07
2015-03-31,25.54,$1.12,22.77
2014-12-31,23.48,$1.63,14.41
2014-09-30,20.53,$1.38,14.88
2014-06-30,22.13,$1.83,12.12
2014-03-31,21.5,$1.60,13.43
2013-12-31,20.78,$1.91,10.86
2013-09-30,20.28,$1.70,11.96
2013-06-30,20.2,$1.83,11.06
2013-03-31,20.28,$1.90,10.69
2012-12-31,17.76,$1.66,10.68
2012-09-30,18.56,$1.01,18.38
2012-06-30,18.15,$0.48,38.2
2012-03-31,18.74,$1.04,17.98
2011-12-31,16.34,$1.33,12.33
2011-09-30,15.49,$0.87,17.81
2011-06-30,17.22,$0.99,17.34
2011-03-31,16.0,$1.04,15.42
2010-12-31,14.97,$0.54,27.96
2010-09-30,13.21,$1.13,11.73
2010-06-30,11.79,$0.81,14.64
2010-03-31,12.46,$0.68,18.21
2009-12-31,11.93,$1.45,8.23
